,회사명,기업공시코드,공시일,종류,총액(원),사채만기일,표면이자율(%),만기이자율(%),사채발행방법,공시코드
0,아이톡시,52770,2021-12-30,무기명식 이권부 무보증 전환사채,"1,500,000,000",2051년 12월 31일,3.0,7.0,사모,20211230000994
1,노터스,278650,2021-12-27,무기명식 이권부 무보증 사모 전환사채,"40,000,000,000",2025년 01월 13일,0.0,1.0,사모,20211227000669
2,노터스,278650,2021-12-27,무기명식 이권부 무보증 사모 전환사채,"54,600,000,000",2025년 01월 13일,0.0,1.0,사모,20211227000668
3,옵트론텍,82210,2021-12-24,무기명식 이권부 무보증 사모 전환사채,"1,600,000,000",2024년 12월 30일,0.00,0.00,사모,20211224000603
4,이원컴포텍,88290,2021-12-21,무기명식 이권부 무보증 사모 전환사채,"15,000,000,000",2025년 01월 25일,2,5,사모,20211221000754
5,이원컴포텍,88290,2021-12-21,무기명식 이권부 무보증 사모 전환사채,"11,000,000,000",2025년 01월 07일,2,5,사모,20211221000752
6,엔에스엔,31860,2021-12-21,무기명식 이권부 무보증 사모 전환사채,"1,530,150,000",2024년 12월 21일,2.0,3.0,사모,20211221000707
7,고바이오랩,348150,2021-12-21,무기명식 이권부 무보증 사모 전환사채,"2,350,000,000",2026년 12월 30일,0.0,0.0,사모,20211221000649
8,서진시스템,178320,2021-12-16, 기명식 이권부 무보증 사모 전환사채,"60,000,000,000",2052년 02월 04일,4.25,-,사모,20211216000639
9,서진시스템,178320,2021-12-16, 기명식 이권부 무보증 사모 전환사채,"110,000,000,000",2052년 02월 04일,4.25,-,사모,20211216000624
10,서진시스템,178320,2021-12-16, 무기명식 이권부 무보증 사모 전환사채,"18,000,000,000",2026년 12월 23일,2.5,2.5,사모,20211216000620
11,하이로닉,149980,2021-12-15,무기명식 이권부 무보증 사모 전환사채,"3,000,000,000",2024년 12월 17일,0.0,5.0,사모,20211215001471
12,플래스크,41590,2021-12-09,국내 무기명식 무보증 담보부 사모 전환사채,"7,300,000,000",2024년 12월 09일,0,3,사모,20211209000475
13,에프앤리퍼블릭,64090,2021-12-07,무기명식 무보증 국내 사모 전환사채,"15,000,000,000",2025년 03월 31일,2,4,사모,20211207000005
14,코오롱생명과학,102940,2021-12-02,무기명식 이권부 무보증 사모 전환사채,"25,000,000,000",2051년 12월 10일,0.0,4.0,사모,20211202000575
15,코오롱생명과학,102940,2021-12-02,무기명식 이권부 무보증 사모 전환사채,"15,000,000,000",2051년 12월 06일,0.0,3.5,사모,20211202000571
16,ES큐브,50120,2021-11-30,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2023년 03월 31일,1.5,3.0,사모,20211130000846
17,엘아이에스,138690,2021-11-30,무기명식 이권 무보증 사모 전환사채,"15,000,000,000",2025년 01월 06일,1.5,4.5,사모,20211130000842
18,세토피아,222810,2021-11-30,무기명식 무보증 사모 전환 사채,"7,000,000,000",2025년 02월 11일,0,3,사모,20211130000841
19,광림,14200,2021-11-30,국내 무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2025년 02월 04일,0.00,3.00,사모,20211130000787
20,우수AMS,66590,2021-11-30,무기명식이권부 무보증 사모 전환사채,"5,000,000,000",2025년 04월 08일,2,3,사모,20211130000767
21,우수AMS,66590,2021-11-30,무기명식이권부 무보증 사모 전환사채,"5,000,000,000",2025년 04월 08일,2,3,사모,20211130000764
22,메디콕스,54180,2021-11-30,무기명식 이권부 무보증 사모 전환사채,"5,000,000,000",2025년 01월 28일,3,5,사모,20211130000749
