Date,Close,Open,High,Low,Volume
2019-01-02,38750,39400,39400,38550,7847664
2019-01-03,37600,38300,38550,37450,12471493
2019-01-04,37450,37450,37600,36850,14108958
2019-01-07,38750,38000,38900,37800,12748997
2019-01-08,38100,38000,39200,37950,12756554
2019-01-09,39600,38650,39600,38300,17452708
2019-01-10,39800,40000,40150,39600,14731699
2019-01-11,40500,40350,40550,39950,11661063
2019-01-14,40050,40450,40700,39850,11984996
2019-01-15,41100,40050,41100,39850,11492756
2019-01-16,41450,41150,41450,40700,8491595
2019-01-17,41950,41700,42100,41450,11736903
2019-01-18,42300,42000,42400,41950,11029256
2019-01-21,42750,42700,42750,41900,11355701
2019-01-22,42150,42750,42850,41850,9964356
2019-01-23,42000,41350,42250,41350,11071079
2019-01-24,43050,43050,43100,42350,14747623
2019-01-25,44750,44300,44750,43750,22789395
2019-01-28,45050,45000,45500,44600,17998914
2019-01-29,45500,45050,45500,44350,16215017
2019-01-30,46400,44800,46400,44800,17505980
2019-01-31,46150,46650,47050,46150,21621145
2019-02-01,46350,46650,46950,46250,13832454
2019-02-07,46200,46800,47100,46200,15872001
2019-02-08,44800,45700,45700,44650,12689196
2019-02-11,45000,44500,45000,44250,11125044
2019-02-12,46050,44650,46250,44650,13184367
2019-02-13,46200,46400,46700,46000,11299738
2019-02-14,47500,46600,47500,46150,17259341
2019-02-15,46050,46750,46850,45650,10554643
2019-02-18,46200,46500,46850,45850,8183728
2019-02-19,45950,45850,46150,45450,6741395
2019-02-20,46900,46750,47100,46500,11506720
2019-02-21,46950,46500,47200,46200,8694009
2019-02-22,47150,46500,47150,46450,6895772
2019-02-25,47350,47400,47550,47050,7484716
2019-02-26,46750,47350,47450,46500,7985547
2019-02-27,46750,47000,47250,46750,8045211
2019-02-28,45100,46400,46500,45100,23569321
2019-03-04,44850,46000,46100,44800,12926539
2019-03-05,44250,44600,45100,44150,10612405
2019-03-06,44000,44000,44300,43700,10202544
2019-03-07,44450,43400,44950,43400,11049749
2019-03-08,43800,44450,44800,43800,7729069
2019-03-11,43650,44400,44450,43650,10717408
2019-03-12,44650,44300,44950,44150,11431977
2019-03-13,43850,44250,44450,43700,8108343
2019-03-14,43850,43700,44300,43550,18039161
2019-03-15,44200,43800,44250,43700,16814163
2019-03-18,43700,43950,44150,43450,8188876
2019-03-19,43900,43750,43900,43550,7609563
2019-03-20,44050,43800,44200,43100,9846242
2019-03-21,45850,44600,46250,44050,21138016
2019-03-22,46550,46850,47000,46250,12535911
2019-03-25,45500,45300,45650,44800,8699728
2019-03-26,45250,45500,45700,44900,9729811
2019-03-27,45350,44750,45600,44250,9568081
2019-03-28,44850,44950,45200,44300,6821306
2019-03-29,44650,44500,44900,44200,11491713
2019-04-01,45050,45200,45450,44850,7362129
2019-04-02,45750,45550,46100,45350,9480688
2019-04-03,46600,46750,46750,45800,12436570
2019-04-04,46950,46150,47100,46150,12650168
2019-04-05,46850,46950,47550,46600,8546339
2019-04-08,46650,47250,47250,46150,8507909
2019-04-09,46650,46700,46950,46200,6878761
2019-04-10,46700,46400,46700,46050,11883995
2019-04-11,46250,46700,46800,46150,13697399
2019-04-12,46850,46050,46900,46000,7668936
2019-04-15,47050,47150,47500,47000,8733019
2019-04-16,47250,47400,47400,46800,7730881
2019-04-17,47050,47300,47600,47000,5513658
2019-04-18,45600,47200,47250,45500,12808747
2019-04-19,45300,45750,46000,45250,8479710
2019-04-22,45350,45400,45900,45100,6006957
2019-04-23,45200,45050,45500,45000,6920566
2019-04-24,44750,45400,45650,44150,13299267
2019-04-25,44650,44250,45000,44100,10868965
2019-04-26,44850,44200,45000,43800,9739982
2019-04-29,46150,45150,46150,45100,8777517
2019-04-30,45850,46000,46300,45350,11121273
2019-05-02,45900,45500,46150,45400,8625126
2019-05-03,45300,45900,46050,45300,6562916
2019-05-07,44850,45250,45300,44400,12014907
2019-05-08,44250,44300,44850,44200,10398754
2019-05-09,42450,43900,44250,42450,23029718
2019-05-10,42900,42600,43450,42450,14579512
2019-05-13,42650,42500,43200,42350,7635079
2019-05-14,42650,41300,43100,41300,11563730
2019-05-15,42550,42700,43050,42550,7670185
2019-05-16,41550,42350,42400,41350,13687828
2019-05-17,41200,41950,42050,40850,13357951
2019-05-20,42000,41650,42100,41550,15752397
2019-05-21,43150,42600,43950,42350,18812133
2019-05-22,43500,43700,43800,42400,11033339
2019-05-23,43850,43900,44000,43250,12259006
2019-05-24,42700,43800,43800,42400,13966305
2019-05-27,42650,42500,43000,42350,8066669
2019-05-28,42550,42550,42950,42150,24506881
2019-05-29,41800,41850,42100,41300,14930618
2019-05-30,42550,42200,42700,42150,11766018
2019-05-31,42500,42600,42800,42150,11365999
2019-06-03,43800,42950,43900,42500,15466580
2019-06-04,43450,43400,43700,43000,9913497
2019-06-05,43900,44050,44200,43700,12464135
2019-06-07,44200,43600,44350,43450,11683682
2019-06-10,44800,44300,44850,44050,8792182
2019-06-11,44850,44800,45000,44550,6664872
2019-06-12,44600,44800,45050,44300,8607439
2019-06-13,43750,44200,44400,43400,16906541
2019-06-14,44000,43750,44150,43300,9322873
2019-06-17,43900,43750,44050,43400,11890424
2019-06-18,44350,43750,44500,43650,7994928
2019-06-19,45350,45450,45450,45000,10417690
2019-06-20,45500,44850,45500,44850,7147785
2019-06-21,45700,45750,45800,45200,9454913
2019-06-24,45500,45200,45800,45200,6085066
