Date,Open,High,Low,Close,Volume
2018-01-02,5110,5190,5000,5010,34200664
2018-01-03,5030,5040,4730,4790,9789137
2018-01-04,4770,4770,4615,4625,7564802
2018-01-05,4635,4670,4550,4635,5455001
2018-01-08,4680,4685,4500,4520,5185456
2018-01-09,4540,4545,4335,4425,8108948
2018-01-10,4405,4605,4345,4585,5714907
2018-01-11,4575,4595,4480,4510,2256464
2018-01-12,4595,4665,4540,4660,3596327
2018-01-15,4690,4770,4620,4665,2563452
2018-01-16,4620,4690,4590,4620,656211
2018-01-17,0,0,0,4620,0
2018-01-18,0,0,0,4620,0
2018-01-19,0,0,0,4620,0
2018-01-22,0,0,0,4620,0
2018-01-23,0,0,0,4620,0
2018-01-24,0,0,0,4620,0
2018-01-25,0,0,0,4620,0
2018-01-26,0,0,0,4620,0
2018-01-29,0,0,0,4620,0
2018-01-30,0,0,0,4620,0
2018-01-31,0,0,0,4620,0
2018-02-01,0,0,0,4620,0
2018-02-02,4780,5040,4745,4800,13958231
2018-02-05,4730,4730,4500,4510,4672756
2018-02-06,4300,4350,4225,4350,4018346
2018-02-07,4400,4450,4235,4235,2396670
2018-02-08,4235,4300,4145,4200,2404295
2018-02-09,4070,4095,4010,4040,2873330
2018-02-12,4115,4160,4005,4080,2662687
2018-02-13,4100,4270,4070,4155,2145965
2018-02-14,4135,4365,4130,4300,2208771
2018-02-19,4350,4485,4325,4470,2288209
2018-02-20,4450,4545,4345,4365,1927429
2018-02-21,4350,4435,4350,4390,923917
2018-02-22,4390,4390,4260,4280,1251889
2018-02-23,4280,4370,4180,4365,1235911
2018-02-26,4420,4455,4360,4370,1154044
2018-02-27,4425,4425,4300,4300,857599
2018-02-28,4315,4365,4245,4365,761695
2018-03-02,4300,4305,4210,4215,1309044
2018-03-05,4240,4370,4160,4235,1441272
2018-03-06,4275,4360,4220,4355,1487589
2018-03-07,4655,4690,4375,4390,6103146
2018-03-08,4395,4415,4240,4275,2204603
2018-03-09,4350,4535,4290,4380,7678223
2018-03-12,4445,4475,4315,4380,2033013
2018-03-13,4380,4480,4355,4440,2233267
2018-03-14,4400,4460,4340,4355,1576017
2018-03-15,4320,4330,4240,4305,1616676
2018-03-16,4310,4425,4300,4335,2884779
2018-03-19,4340,4425,4265,4285,2651916
2018-03-20,4295,4415,4285,4390,1865037
2018-03-21,4415,4460,4340,4380,2130948
2018-03-22,4370,4455,4370,4425,2156127
2018-03-23,4360,4400,4250,4270,2357143
2018-03-26,4230,4335,4230,4310,1312871
2018-03-27,4320,4440,4295,4435,1804840
2018-03-28,4395,4485,4315,4320,3291904
2018-03-29,4300,4395,4300,4365,1327174
2018-03-30,4405,4405,4335,4375,1044668
2018-04-02,4375,4470,4375,4420,2311458
2018-04-03,4375,4490,4370,4450,2583588
2018-04-04,4470,4700,4405,4485,8690777
2018-04-05,4530,5650,4510,5150,71697983
2018-04-06,5300,5480,5010,5180,21018367
2018-04-09,5180,5180,4850,4875,9478692
2018-04-10,4835,4840,4640,4690,8126863
2018-04-11,4805,4825,4715,4780,4805445
2018-04-12,4805,4970,4775,4790,6367437
2018-04-13,4805,4825,4685,4740,3427677
2018-04-16,4715,4715,4535,4600,5261617
2018-04-17,4600,4675,4535,4575,3813199
2018-04-18,4620,4815,4600,4815,9082223
2018-04-19,4900,5040,4850,4955,15809005
2018-04-20,5020,5030,4805,4895,5667010
2018-04-23,5040,5340,4895,5190,28778966
2018-04-24,5220,5220,4980,5040,7477743
2018-04-25,5000,5030,4880,4900,5041518
2018-04-26,4905,5340,4905,5280,17980456
2018-04-27,5390,5420,5090,5260,15182607
2018-04-30,5300,6540,5140,6070,69084199
2018-05-02,6300,6620,5900,6100,31402922
2018-05-03,5930,5970,5680,5800,11688589
2018-05-04,5750,6080,5580,5910,10698098
2018-05-08,5730,5910,5570,5570,7503974
2018-05-09,5600,5750,5300,5670,7859274
2018-05-10,5750,5970,5670,5730,7128058
2018-05-11,5730,5800,5570,5780,4691935
2018-05-14,5950,6360,5890,6180,21392613
2018-05-15,6260,6650,6060,6440,23600217
2018-05-16,5900,6340,5900,6010,16784297
2018-05-17,5980,6230,5960,6050,8697091
2018-05-18,6050,6100,5840,6000,5581805
2018-05-21,6000,6060,5900,6000,3168281
2018-05-23,5870,6060,5710,5980,4953512
2018-05-24,6080,6090,5800,5870,3597501
2018-05-25,5220,5520,5190,5390,9794335
2018-05-28,6130,6840,6000,6600,46346415
2018-05-29,6580,6580,6090,6140,15179916
2018-05-30,6140,6250,5960,6070,6670692
2018-05-31,6080,6150,5760,5910,7924579
2018-06-01,5910,5970,5650,5670,5524909
2018-06-04,5810,5890,5600,5730,3724556
2018-06-05,5680,5810,5600,5810,2721019
2018-06-07,5810,5830,5720,5740,2186421
2018-06-08,5770,5780,5580,5660,3001757
2018-06-11,5660,5800,5640,5780,2449969
2018-06-12,5850,5860,5510,5620,4280194
2018-06-14,5430,5510,5250,5330,4592129
2018-06-15,5400,5660,5400,5470,3444263
2018-06-18,5580,5720,5360,5450,3726123
2018-06-19,5450,5590,5150,5160,3188721
2018-06-20,5160,5390,5050,5390,2357346
2018-06-21,5400,5410,5130,5160,1653062
2018-06-22,5200,5300,5130,5250,1725741
2018-06-25,5280,5330,5150,5280,1311471
2018-06-26,5200,5270,5110,5130,1602155
2018-06-27,5160,5180,4900,4930,3303044
2018-06-28,4860,5050,4825,4830,1625765
2018-06-29,4870,5030,4800,5030,1637367
2018-07-02,5000,5010,4750,4750,1819063
2018-07-03,4755,4825,4660,4790,1429719
2018-07-04,4755,4815,4705,4780,883069
2018-07-05,4780,4780,4610,4670,1274748
2018-07-06,4675,4765,4600,4730,1421833
2018-07-09,4600,4610,4475,4505,2153415
2018-07-10,4515,4610,4510,4580,1016145
2018-07-11,4580,4645,4525,4610,1060545
2018-07-12,4635,4670,4555,4570,1051809
2018-07-13,4610,4635,4565,4625,1059279
2018-07-16,4700,4700,4620,4625,626296
2018-07-17,4665,4825,4625,4695,1287547
2018-07-18,4710,4710,4510,4545,1072354
2018-07-19,4545,4570,4465,4485,1046460
2018-07-20,4500,4510,4385,4460,1126187
2018-07-23,4450,4450,4265,4285,1346301
2018-07-24,4310,4495,4310,4445,1291982
2018-07-25,4470,4510,4390,4410,862485
2018-07-26,4410,4630,4405,4590,1385551
2018-07-27,4595,4610,4505,4580,675518
2018-07-30,4580,4805,4565,4805,2061287
2018-07-31,4895,4895,4680,4785,1342839
2018-08-01,4820,4860,4740,4840,1019214
2018-08-02,4880,4900,4750,4850,899879
2018-08-03,4890,4895,4795,4850,766980
2018-08-06,4800,4850,4765,4775,748350
2018-08-07,4775,4860,4715,4820,734944
2018-08-08,4815,4990,4800,4905,1253328
2018-08-09,4950,4960,4790,4805,991927
2018-08-10,4895,4915,4780,4850,1136579
2018-08-13,4895,4900,4660,4660,1252948
2018-08-14,4665,4790,4665,4790,1036340
2018-08-16,4685,4845,4650,4820,1365180
2018-08-17,4820,4965,4820,4910,1331154
2018-08-20,4870,4950,4855,4905,819853
2018-08-21,4910,4940,4830,4845,911192
2018-08-22,4875,4965,4790,4950,1475546
2018-08-23,5200,5200,4915,4930,2701081
2018-08-24,4895,4930,4845,4890,1309689
2018-08-27,4730,4750,4655,4665,1651224
2018-08-28,4665,4725,4600,4655,1001589
2018-08-29,4630,4675,4610,4650,839427
2018-08-30,4620,4680,4620,4625,757720
2018-08-31,4605,4605,4520,4550,1124252
2018-09-03,4595,4595,4505,4525,828469
2018-09-04,4525,4575,4525,4575,607658
2018-09-05,4590,4685,4590,4650,1085245
2018-09-06,4655,4745,4605,4625,1083018
2018-09-07,4615,4710,4600,4695,1017487
2018-09-10,4750,4750,4645,4720,1211830
2018-09-11,4750,4775,4675,4695,998488
2018-09-12,4715,4725,4590,4650,1094096
2018-09-13,4610,4830,4605,4795,1989527
2018-09-14,4760,4825,4720,4775,901485
2018-09-17,4840,4865,4655,4690,1483123
2018-09-18,4695,4700,4600,4615,1208303
2018-09-19,4665,5470,4560,4935,20780887
2018-09-20,5100,5250,4910,4935,8140722
2018-09-21,5000,5060,4905,4990,2862334
2018-09-27,5020,5100,4835,4905,2704353
2018-09-28,4875,4970,4720,4920,2514545
2018-10-01,4970,4970,4810,4810,1196503
2018-10-02,4795,4860,4715,4735,1160280
2018-10-04,4800,4885,4760,4785,1466736
2018-10-05,4785,4975,4735,4880,2510152
2018-10-08,4940,4975,4780,4790,1327819
2018-10-10,4745,4865,4600,4650,1834511
2018-10-11,4410,4565,4375,4400,2130347
2018-10-12,4350,4500,4345,4465,1755091
2018-10-15,4700,4820,4540,4565,3051787
2018-10-16,4560,4590,4480,4535,970188
2018-10-17,4540,4585,4505,4510,889587
2018-10-18,4505,4570,4445,4465,1097706
2018-10-19,4430,4560,4360,4505,871088
2018-10-22,4500,4500,4385,4405,927014
2018-10-23,4400,4425,4250,4270,1429262
2018-10-24,4335,4390,4165,4195,1127277
2018-10-25,4080,4150,3995,4070,1583614
2018-10-26,4105,4105,3840,3860,2384896
2018-10-29,3850,3905,3625,3640,1764996
2018-10-30,3540,3700,3510,3695,1976549
2018-10-31,3760,3845,3635,3780,1047770
2018-11-01,3785,3850,3755,3810,1112674
2018-11-02,3875,4080,3855,4075,1362193
2018-11-05,4075,4190,3985,4170,1105885
2018-11-06,4185,4230,4090,4140,668026
2018-11-07,4160,4270,3905,4055,1036668
2018-11-08,4130,4150,4050,4110,590152
2018-11-09,4060,4125,4050,4090,458081
2018-11-12,4085,4100,3970,4015,549396
2018-11-13,3960,4000,3880,3975,892748
2018-11-14,4005,4010,3945,3950,580492
2018-11-15,3915,3995,3840,3990,681667
2018-11-16,3990,4115,3945,4000,762098
2018-11-19,4070,4200,4055,4185,1358652
2018-11-20,4125,4250,4095,4120,879538
2018-11-21,4055,4170,4055,4130,761250
2018-11-22,4130,4160,4035,4040,545970
2018-11-23,4060,4125,4000,4000,514052
2018-11-26,4045,4090,4035,4055,470114
2018-11-27,4015,4055,3980,4000,965084
2018-11-28,4000,4005,3610,3750,4099719
2018-11-29,3725,3815,3725,3765,1128431
2018-11-30,3820,3820,3760,3780,522357
2018-12-03,3805,3890,3795,3885,845764
2018-12-04,3900,3920,3845,3900,728560
2018-12-05,3805,3870,3805,3835,643879
2018-12-06,3835,3835,3680,3700,931802
2018-12-07,3710,3780,3680,3750,634015
2018-12-10,3720,3720,3585,3645,746477
2018-12-11,3650,3665,3505,3540,1174623
2018-12-12,3510,3620,3505,3530,975819
2018-12-13,3570,3640,3535,3615,949351
2018-12-14,3615,3645,3525,3560,774052
2018-12-17,3560,3570,3385,3455,1355610
2018-12-18,3600,3600,3445,3480,1127176
2018-12-19,3500,3560,3480,3545,660930
2018-12-20,3515,3545,3440,3480,733869
2018-12-21,3495,3510,3395,3510,1027258
2018-12-24,3500,3600,3455,3585,1043437
2018-12-26,3505,3565,3475,3495,806025
2018-12-27,3545,3715,3545,3615,1358937
2018-12-28,3620,3725,3620,3695,760694
2019-01-02,3745,3955,3685,3750,2548278
2019-01-03,3750,3770,3620,3670,1180558
2019-01-04,3635,3640,3560,3635,650604
2019-01-07,3660,3775,3655,3765,907623
2019-01-08,3780,3845,3760,3770,1261887
2019-01-09,3820,3820,3770,3795,721269
2019-01-10,3795,3835,3635,3750,1673341
2019-01-11,3765,3775,3680,3730,908069
2019-01-14,3790,3820,3730,3750,1547102
2019-01-15,3750,3780,3725,3765,1283681
2019-01-16,3790,3995,3780,3870,4218932
2019-01-17,3895,3905,3795,3810,1388814
2019-01-18,3805,3865,3740,3845,1091564
2019-01-21,3875,3890,3825,3855,820669
2019-01-22,3840,3875,3830,3865,646043
2019-01-23,3795,3935,3795,3930,976430
2019-01-24,3955,3960,3870,3900,878913
2019-01-25,3900,3980,3880,3925,961120
2019-01-28,3955,3985,3905,3950,1044269
2019-01-29,3980,4095,3960,4030,2009261
2019-01-30,4020,4065,4005,4035,1035183
2019-01-31,4075,4075,4000,4005,840810
2019-02-01,4010,4295,4010,4235,2831296
2019-02-07,4290,4590,4285,4445,5705243
2019-02-08,4400,4430,4320,4415,1676065
2019-02-11,4430,4510,4405,4410,1689145
2019-02-12,4410,4455,4240,4265,1697278
2019-02-13,4210,4325,4210,4285,1083218
2019-02-14,4350,4350,4220,4285,874309
2019-02-15,4260,4350,4240,4330,875418
2019-02-18,4400,4455,4345,4430,1235425
2019-02-19,4470,4595,4445,4515,2498629
2019-02-20,4565,4570,4450,4470,1319916
2019-02-21,4465,4480,4315,4400,1407388
2019-02-22,4450,4460,4345,4370,1360555
2019-02-25,4405,4480,4340,4350,1852724
2019-02-26,4370,4465,4365,4380,2849114
2019-02-27,4465,4465,4370,4410,2470923
2019-02-28,4455,4455,3610,4000,4179735
2019-03-04,3825,3970,3820,3900,3454100
2019-03-05,3910,3940,3850,3900,1480065
2019-03-06,3920,3930,3810,3845,1330890
2019-03-07,3805,3825,3720,3755,1490348
2019-03-08,3730,3750,3680,3725,1001868
2019-03-11,3725,3800,3635,3755,1015540
2019-03-12,3760,3835,3760,3820,652689
2019-03-13,3825,3830,3740,3765,607891
2019-03-14,3760,3785,3745,3785,543429
2019-03-15,3770,3785,3655,3735,1411263
2019-03-18,3735,3780,3730,3765,617607
2019-03-19,3775,3800,3750,3755,498803
2019-03-20,3750,3750,3675,3705,630570
2019-03-21,3660,3715,3650,3665,665460
2019-03-22,3665,3685,3645,3650,570410
2019-03-25,3600,3650,3585,3615,830949
2019-03-26,3605,3650,3600,3605,595056
2019-03-27,3580,3620,3560,3570,660128
2019-03-28,3565,3585,3520,3540,533786
2019-03-29,3505,3695,3505,3640,829947
2019-04-01,3660,3710,3650,3700,510883
2019-04-02,3740,3745,3620,3715,594426
2019-04-03,3720,3745,3680,3745,597703
2019-04-04,3745,3750,3705,3720,416251
2019-04-05,3720,3775,3705,3765,654653
2019-04-08,3780,3780,3730,3745,463501
2019-04-09,3745,3770,3720,3760,472757
2019-04-10,3765,3845,3730,3835,776792
2019-04-11,3800,3900,3800,3880,873863
2019-04-12,3820,3860,3775,3825,911504
2019-04-15,3830,3890,3790,3800,825925
2019-04-16,3800,3825,3715,3745,837304
2019-04-17,3750,3750,3675,3685,809905
2019-04-18,3690,3725,3650,3675,696949
2019-04-19,3690,3735,3650,3730,768321
2019-04-22,3730,4180,3725,4140,9097091
2019-04-23,4150,4200,3995,4200,3831197
2019-04-24,4205,4210,3980,4000,2014615
2019-04-25,3990,4000,3855,3920,1189497
2019-04-26,3905,4000,3855,3910,918479
2019-04-29,3910,3995,3870,3975,604237
2019-04-30,3975,4145,3975,4020,1435109
2019-05-02,3995,4015,3910,3945,859959
2019-05-03,3945,3990,3900,3935,518772
2019-05-07,3875,3875,3790,3820,838927
2019-05-08,3800,3865,3780,3805,524264
2019-05-09,3805,3810,3680,3690,1046777
2019-05-10,3690,3730,3620,3675,725218
2019-05-13,3670,3670,3590,3600,707139
2019-05-14,3520,3630,3500,3625,657491
2019-05-15,3610,3635,3575,3620,511228
2019-05-16,3685,3690,3560,3570,709235
2019-05-17,3595,3635,3575,3585,554922
2019-05-20,3585,3650,3515,3540,749226
2019-05-21,3535,3565,3515,3555,568830
2019-05-22,3550,3580,3510,3525,649455
2019-05-23,3505,3515,3405,3430,1158447
2019-05-24,3405,3460,3380,3395,835899
2019-05-27,3385,3440,3370,3375,603431
2019-05-28,3380,3415,3370,3370,540554
2019-05-29,3370,3385,3240,3310,1045968
2019-05-30,3340,3340,3245,3255,639603
2019-05-31,3270,3315,3245,3260,432771
2019-06-03,3230,3245,3180,3190,913860
2019-06-04,3160,3295,3160,3250,660934
2019-06-05,3270,3295,3260,3285,435728
2019-06-07,3305,3365,3290,3365,560924
2019-06-10,3385,3470,3385,3450,614371
2019-06-11,3445,3555,3440,3530,648254
2019-06-12,3545,3595,3500,3530,570336
2019-06-13,3510,3550,3480,3535,660672
2019-06-14,3530,3580,3530,3545,536942
2019-06-17,3545,3575,3500,3520,320725
2019-06-18,3520,3630,3495,3535,601675
2019-06-19,3590,3595,3545,3570,462884
2019-06-20,3595,3630,3540,3615,474736
2019-06-21,3645,3760,3615,3760,1529794
2019-06-24,3820,3865,3770,3780,964574
2019-06-25,3795,3815,3660,3660,869297
2019-06-26,3655,3660,3550,3660,578146
2019-06-27,3740,3780,3670,3690,831141
2019-06-28,3700,3800,3690,3705,534369
2019-07-01,3910,3920,3770,3845,1527519
2019-07-02,4000,4280,3735,3745,6352834
2019-07-03,3740,3790,3650,3685,1065045
2019-07-04,3705,3770,3635,3640,716319
2019-07-05,3725,3820,3680,3820,1458377
2019-07-08,3820,3850,3675,3685,885267
2019-07-09,3655,3765,3625,3635,690225
2019-07-10,3630,3700,3620,3645,523337
2019-07-11,3610,3670,3395,3670,2172395
2019-07-12,3675,3675,3590,3630,596798
2019-07-15,3605,3670,3550,3560,632556
2019-07-16,3540,3580,3495,3530,459327
2019-07-17,3510,3510,3400,3445,878919
2019-07-18,3410,3485,3410,3480,256668
2019-07-19,3500,3540,3450,3540,358062
2019-07-22,3540,3570,3455,3560,313544
2019-07-23,3585,3630,3505,3520,414878
2019-07-24,3500,3555,3480,3480,348464
2019-07-25,3450,3510,3445,3490,468218
2019-07-26,3455,3490,3425,3440,463055
2019-07-29,3450,3465,3305,3310,747059
2019-07-30,3300,3340,3300,3300,511285
2019-07-31,3275,3325,3195,3305,636784
2019-08-01,3250,3320,3190,3205,603022
2019-08-02,3165,3175,3060,3110,1112591
2019-08-05,3100,3140,2880,2880,1699191
2019-08-06,2795,2975,2640,2885,1800550
2019-08-07,2880,2970,2830,2905,776457
2019-08-08,2910,3080,2910,3080,731369
2019-08-09,3105,3155,3080,3150,499667
2019-08-12,3095,3250,3095,3220,450302
2019-08-13,3185,3240,3160,3220,416341
2019-08-14,3210,3300,3210,3255,337703
2019-08-16,3180,3240,3110,3235,536189
2019-08-19,3210,3350,3210,3300,578135
2019-08-20,3270,3360,3270,3355,348582
2019-08-21,3350,3390,3310,3390,351094
2019-08-22,3390,3455,3385,3385,710939
2019-08-23,3345,3385,3315,3315,477361
2019-08-26,3255,3280,3215,3260,583732
2019-08-27,3275,3330,3250,3255,401939
2019-08-28,3230,3295,3225,3290,353748
2019-08-29,3305,3340,3260,3300,347938
2019-08-30,3290,3410,3290,3395,701865
2019-09-02,3390,3480,3345,3465,587961
2019-09-03,3470,3555,3455,3530,744630
2019-09-04,3490,3545,3485,3535,406354
2019-09-05,3535,3680,3535,3615,783348
2019-09-06,3615,3645,3525,3550,528196
2019-09-09,3550,3610,3545,3590,395458
2019-09-10,3615,3690,3615,3690,873769
2019-09-11,3695,3750,3675,3690,490962
2019-09-16,3720,3755,3705,3740,664287
2019-09-17,3700,3740,3675,3690,539868
2019-09-18,3695,3755,3655,3740,654901
2019-09-19,3740,3760,3710,3740,319649
2019-09-20,3755,3840,3735,3835,981230
2019-09-23,3880,3885,3800,3820,605092
2019-09-24,3820,3845,3780,3825,556903
2019-09-25,3820,3820,3700,3700,753225
2019-09-26,3720,3790,3650,3770,620852
2019-09-27,3770,3785,3650,3670,551801
2019-09-30,3665,3670,3575,3625,403450
2019-10-01,3635,3670,3575,3660,353137
2019-10-02,3730,3730,3600,3650,461765
2019-10-04,3660,3660,3550,3565,414622
2019-10-07,3505,3540,3420,3480,676744
2019-10-08,3500,3510,3440,3460,521612
2019-10-10,3435,3460,3390,3395,607664
2019-10-11,3435,3435,3395,3425,389530
2019-10-14,3460,3505,3430,3500,412811
2019-10-15,3510,3510,3450,3470,342859
2019-10-16,3490,3535,3490,3500,399537
2019-10-17,3500,3520,3450,3470,398752
2019-10-18,3475,3520,3470,3475,432687
2019-10-21,3450,3475,3380,3400,625956
2019-10-22,3400,3420,3300,3340,797927
2019-10-23,3300,3465,3090,3395,1117165
2019-10-24,3380,3395,3320,3355,501942
2019-10-25,3360,3395,3280,3385,604308
2019-10-28,3360,3405,3330,3385,413972
2019-10-29,3410,3435,3335,3350,315935
2019-10-30,3355,3355,3290,3305,394867
2019-10-31,3300,3335,3280,3295,372665
2019-11-01,3285,3290,3260,3270,347204
2019-11-04,3275,3310,3255,3310,480220
2019-11-05,3345,3350,3315,3350,450447
2019-11-06,3360,3410,3325,3395,618613
2019-11-07,3395,3400,3345,3360,380552
2019-11-08,3370,3425,3370,3415,460668
2019-11-11,3415,3430,3350,3415,359652
2019-11-12,3410,3415,3355,3385,258347
2019-11-13,3380,3410,3365,3395,273726
2019-11-14,3370,3400,3350,3365,307494
2019-11-15,3450,3450,3390,3410,547764
2019-11-18,3430,3455,3420,3450,473947
2019-11-19,3450,3690,3415,3655,1855117
2019-11-20,3645,3650,3510,3640,1070389
2019-11-21,3655,3660,3565,3600,554419
2019-11-22,3575,3620,3560,3570,374627
2019-11-25,3585,3605,3540,3555,295612
2019-11-26,3550,3615,3525,3615,412588
2019-11-27,3615,3620,3540,3580,278936
2019-11-28,3580,3580,3550,3565,208436
2019-11-29,3570,3610,3525,3610,477451
2019-12-02,3565,3610,3560,3580,358184
2019-12-03,3570,3590,3525,3560,369327
2019-12-04,3520,3550,3460,3490,432685
2019-12-05,3490,3515,3400,3415,446812
2019-12-06,3450,3450,3365,3400,327580
2019-12-09,3400,3420,3315,3340,444097
2019-12-10,3395,3395,3320,3330,406972
2019-12-11,3330,3355,3270,3290,719949
2019-12-12,3290,3330,3285,3295,503910
2019-12-13,3340,3380,3315,3370,512507
2019-12-16,3390,3390,3355,3365,278036
2019-12-17,3375,3375,3330,3360,464345
2019-12-18,3330,3365,3325,3335,308440
2019-12-19,3335,3355,3310,3315,368169
2019-12-20,3315,3445,3305,3445,545135
2019-12-23,3420,3425,3325,3355,528729
2019-12-24,3355,3365,3320,3325,331804
2019-12-26,3325,3350,3315,3330,369900
2019-12-27,3340,3425,3320,3420,568254
2019-12-30,3420,3615,3405,3550,1557703
2020-01-02,3555,3770,3555,3750,1799891
2020-01-03,3765,3865,3745,3775,1567072
2020-01-06,3725,3840,3660,3835,1312388
2020-01-07,3840,3920,3810,3900,1300247
2020-01-08,3845,3960,3740,3765,1745074
2020-01-09,3900,3910,3800,3850,876535
2020-01-10,3850,3890,3750,3780,892735
2020-01-13,3790,3845,3755,3780,930436
2020-01-14,3795,3810,3725,3785,997094
2020-01-15,3795,3825,3740,3805,598888
2020-01-16,3805,3840,3740,3760,670170
2020-01-17,3825,3835,3740,3745,808336
2020-01-20,3715,3735,3645,3650,873145
2020-01-21,3685,3685,3545,3565,744621
2020-01-22,3560,3585,3470,3585,1104399
2020-01-23,3570,3675,3560,3635,561275
2020-01-28,3500,3545,3435,3475,1518192
2020-01-29,3525,3565,3495,3500,744188
2020-01-30,3520,3570,3480,3500,559778
2020-01-31,3455,3525,3455,3475,639462
2020-02-03,3435,3435,3340,3400,1032561
2020-02-04,3400,3530,3400,3475,574954
2020-02-05,3530,3545,3490,3520,396345
2020-02-06,3520,3580,3520,3530,582315
2020-02-07,3540,3555,3485,3525,416722
2020-02-10,3520,3720,3505,3710,1144368
2020-02-11,3710,3865,3710,3800,1925391
2020-02-12,3830,3850,3725,3820,957511
2020-02-13,3820,3830,3750,3815,602701
2020-02-14,3815,3850,3760,3825,907607
2020-02-17,3865,4020,3810,3980,2545266
2020-02-18,3960,3960,3835,3860,1255162
2020-02-19,3850,3850,3685,3710,1324618
2020-02-20,3680,3755,3590,3625,1253935
2020-02-21,3580,3620,3475,3500,1642334
2020-02-24,3385,3420,3335,3345,1838543
2020-02-25,3305,3415,3305,3395,1625635
2020-02-26,3360,3395,3325,3380,1165749
2020-02-27,3375,3445,3340,3340,1114852
2020-02-28,3330,3330,3215,3255,1538226
2020-03-02,3220,3320,3220,3320,1120832
2020-03-03,3385,3465,3375,3405,1169853
2020-03-04,3385,3535,3355,3525,883729
2020-03-05,3545,3745,3535,3730,1721638
2020-03-06,3670,3805,3605,3670,1564936
2020-03-09,3610,3635,3395,3450,1951088
2020-03-10,3395,3475,3335,3430,1904808
2020-03-11,3460,3555,3375,3430,1119481
2020-03-12,3310,3390,3260,3275,1790039
2020-03-13,2995,3120,2905,3060,3964328
2020-03-16,3145,3210,2975,2990,1815097
2020-03-17,2805,3030,2805,3000,1650696
2020-03-18,3040,3095,2825,2825,1617712
2020-03-19,2825,2890,2250,2325,4066380
2020-03-20,2360,2500,2245,2425,3836779
2020-03-23,2255,2285,2120,2190,2438506
2020-03-24,2210,2360,2210,2340,1740696
2020-03-25,2500,2705,2480,2600,2671935
2020-03-26,2605,2770,2510,2660,1772977
2020-03-27,2840,2850,2620,2665,1817584
2020-03-30,2555,2820,2515,2805,1631441
2020-03-31,2885,3170,2825,3100,3365384
2020-04-01,3120,3340,3015,3150,2783750
2020-04-02,3070,3270,3000,3270,2026781
2020-04-03,3335,3335,3165,3215,1679240
2020-04-06,3230,3260,3180,3240,1350717
2020-04-07,3335,3340,3180,3250,1474044
2020-04-08,3230,3320,3190,3260,1415468
2020-04-09,3320,3325,3265,3280,772143
2020-04-10,3300,3345,3235,3290,1351040
2020-04-13,3295,3475,3265,3460,2574276
2020-04-14,3425,3595,3425,3585,2766846
2020-04-16,3605,3765,3525,3705,3209617
2020-04-17,3725,3985,3635,3655,5135984
2020-04-20,3720,3810,3655,3750,2419972
2020-04-21,3755,3830,3455,3685,3768430
2020-04-22,3600,3650,3530,3650,1783288
2020-04-23,3750,3780,3660,3680,2102806
2020-04-24,3880,3910,3585,3710,5768258
2020-04-27,3700,3730,3655,3670,1292320
2020-04-28,3685,3700,3570,3600,1279489
2020-04-29,3570,3660,3570,3610,1024170
2020-05-04,3560,3590,3490,3505,1295648
2020-05-06,3515,3575,3475,3495,1222688
2020-05-07,3485,3650,3470,3600,1281810
2020-05-08,3600,3670,3595,3645,1058254
2020-05-11,3700,3845,3695,3765,3710016
2020-05-12,3770,3780,3655,3705,1236438
2020-05-13,3650,3710,3615,3680,970572
2020-05-14,3680,3745,3620,3695,1308450
2020-05-15,3725,3740,3685,3735,1452864
2020-05-18,3850,3870,3755,3760,1936810
2020-05-19,3810,3860,3790,3800,1898938
2020-05-20,3805,3820,3750,3795,1014561
2020-05-21,3850,3855,3800,3825,1152598
2020-05-22,3860,4270,3830,3995,12795608
2020-05-25,4065,4155,4020,4155,3007002
2020-05-26,4240,4490,4180,4465,7337191
2020-05-27,4575,5140,4570,4840,15837049
