Date,Open,High,Low,Close,Volume
2018-01-02,117000,118000,116500,117000,158674
2018-01-03,116500,117000,112000,113500,468519
2018-01-04,114000,115000,112000,113500,328862
2018-01-05,113500,115000,112000,113000,313688
2018-01-08,113500,114000,110500,111500,386891
2018-01-09,111500,114000,111000,114000,350083
2018-01-10,114000,118500,113000,117500,541025
2018-01-11,117500,117500,114500,116000,428143
2018-01-12,117000,117500,112500,113500,263361
2018-01-15,114000,114500,113000,113000,127029
2018-01-16,113000,113000,111000,113000,232617
2018-01-17,112500,114000,111500,113500,242877
2018-01-18,113500,113500,109500,110500,388720
2018-01-19,110500,113000,110000,113000,196625
2018-01-22,115000,118000,114000,118000,587223
2018-01-23,117500,119000,116500,118500,328391
2018-01-24,119000,119000,117500,118000,174876
2018-01-25,118000,118500,116000,116500,248381
2018-01-26,116000,117000,114500,115500,199661
2018-01-29,116000,125000,116000,123500,875023
2018-01-30,123500,126500,123500,125500,551811
2018-01-31,124000,125500,121000,123000,339673
2018-02-01,123500,125500,123000,124000,256782
2018-02-02,124000,124500,121500,123000,178606
2018-02-05,121500,126000,118500,121500,371059
2018-02-06,118500,120500,116000,119500,359685
2018-02-07,120500,121000,115500,115500,252434
2018-02-08,115000,118000,114000,116000,239097
2018-02-09,112000,114000,111500,113500,236028
2018-02-12,113500,115500,111000,115000,157272
2018-02-13,115000,116500,113500,114500,152420
2018-02-14,114000,115000,112500,113000,162083
2018-02-19,115500,120000,115000,120000,228518
2018-02-20,119500,120000,117500,119500,105273
2018-02-21,119500,121000,117500,119500,178765
2018-02-22,118000,118500,115000,116000,220677
2018-02-23,117500,119000,117000,119000,155372
2018-02-26,121000,125000,120500,123500,330735
2018-02-27,124500,125500,123000,123000,305912
2018-02-28,122500,126000,122000,123500,378059
2018-03-02,123000,126500,121500,126000,401467
2018-03-05,126500,127500,124500,124500,232262
2018-03-06,126500,126500,122000,123000,199055
2018-03-07,121500,123000,119000,122500,252697
2018-03-08,121000,122500,118000,121000,401198
2018-03-09,121000,123000,120500,122000,216283
2018-03-12,124000,125500,123000,125000,167700
2018-03-13,123500,125000,121500,123500,193839
2018-03-14,121500,124000,121500,123000,102259
2018-03-15,123500,123500,120500,120500,172934
2018-03-16,121000,122000,119500,119500,214924
2018-03-19,120500,121000,119000,120000,183017
2018-03-20,119000,119500,116500,117000,320764
2018-03-21,117500,118000,115500,117500,244454
2018-03-22,119000,119500,117500,119500,339469
2018-03-23,116500,117500,116000,117000,211631
2018-03-26,116500,119500,115500,119000,223461
2018-03-27,119500,119500,117000,118000,277401
2018-03-28,117000,118000,116000,117000,174225
2018-03-29,117500,119500,117000,119500,234713
2018-03-30,121000,121000,119500,120000,148137
2018-04-02,120500,123000,119500,121000,202265
2018-04-03,120000,121000,119000,120000,120037
2018-04-04,120000,120500,117500,119000,288064
2018-04-05,118500,120500,118500,120000,134296
