,Dart코드,회사명,기업공시코드
0,00149293,신한은행,A000010
1,00119195,동화약품,A000020
2,00254045,우리은행,A000030
3,00112378,KR모터스,A000040
4,00101628,경방,A000050
5,00117744,메리츠화재,A000060
6,00126937,삼양홀딩스,A000070
7,00150244,하이트진로,A000080
8,00145109,유한양행,A000100
9,00148504,한국스탠다드차타드은행,A000110
10,00113410,CJ대한통운,A000120
11,00148993,하이트진로홀딩스,A000140
12,00117212,두산,A000150
13,00133335,성창기업지주,A000180
14,00109693,DL,A000210
15,00144818,유유제약,A000220
16,00146083,일동홀딩스,A000230
17,00160047,한국앤컴퍼니,A000240
18,00128546,삼천당제약,A000250
19,00106641,기아,A000270
20,00126089,대유플러스,A000300
21,00113508,노루홀딩스,A000320
22,00129411,삼환기업,A000360
23,00135917,한화손해보험,A000370
24,00110963,대아건설,A000380
25,00129387,삼화페인트공업,A000390
26,00113562,롯데손해보험,A000400
27,00120377,로케트전기,A000420
28,00111847,대원강업,A000430
29,00149770,중앙에너비스,A000440
30,00104971,그린손해보험,A000470
31,00148984,조선내화,A000480
32,00109286,대동,A000490
33,00104768,가온전선,A000500
34,00128032,삼일제약,A000520
35,00103176,흥국화재,A000540
36,00149026,CS홀딩스,A000590
37,00148744,제일화재해상보험,A000610
38,00116824,동아쏘시오홀딩스,A000640
39,00151395,천일고속,A000650
40,00164779,SK하이닉스,A000660
41,00141307,영풍,A000670
42,00104698,LS네트웍스,A000680
43,00163691,유수홀딩스,A000700
44,00164478,현대건설,A000720
45,00145686,이화산업,A000760
46,00134060,씨앤상선,A000790
47,00101257,경남기업,A000800
48,00139214,삼성화재해상보험,A000810
49,00126229,삼성물산,A000830
50,00166519,화천기공,A000850
51,00100939,강남제비스코,A000860
52,00160588,한화,A000880
53,00123541,보해양조,A000890
54,00144252,유니온,A000910
55,00147222,전방,A000950
56,00159573,한국주철관공업,A000970
57,00160843,DB하이텍,A000990
58,00135999,신라섬유,A001000
59,00134723,페이퍼코리아,A001020
60,00148540,CJ,A001040
61,00149947,JW중외제약,A001060
62,00112970,대한방직,A001070
63,00120872,만호제강,A001080
64,00120076,LX인터내셔널,A001120
65,00113243,대한제분,A001130
66,00104519,국보,A001140
67,00131434,서통,A001150
68,00112068,마이크로닉스,A001190
69,00131054,유진증권,A001200
70,00106395,금호전기,A001210
71,00114792,동국제강,A001230
72,00138190,GS글로벌,A001250
73,00107066,남광토건,A001260
74,00123772,부국증권,A001270
75,00163178,우리증권,A001280
76,00112059,상상인증권,A001290
77,00148328,제일모직,A001300
78,00155498,풍림산업,A001310
79,00122472,백광산업,A001340
80,00126414,삼성제약,A001360
