,공시일,회사명,코드,보고서명,정정신고
0,2022-11-21,이브이첨단소재,20221121000378,유상증자결정,YES
1,2022-11-21,솔고바이오,20221121000330,유상증자결정(종속회사의 주요경영사항),NO
2,2022-11-18,커머스마이너,20221118000642,유상증자결정(제3자배정증자),NO
3,2022-11-18,리더스 기술투자,20221118000612,유상증자결정(제3자배정),YES
4,2022-11-18,ITX-AI,20221118000570,유상증자결정(제3자배정),YES
5,2022-11-18,없음,20221118000209,유상증자결정(주주우선공모증자),YES
6,2022-11-17,,20221117000523,유상증자결정(제3자배정),YES
7,2022-11-17,에코프로비엠,20221117000464,유상증자결정(종속회사의 주요경영사항),YES
8,2022-11-17,디딤이앤에프,20221117000441,유상증자결정(제3자배정),YES
9,2022-11-17,에코프로비엠,20221117000445,유상증자결정(종속회사의 주요경영사항),YES
10,2022-11-17,글로본,20221117000376,유상증자결정(제3자배정-소액),YES
11,2022-11-17,다산네트웍스,20221117000353,투자판단 관련 주요경영사항(주요 연결종속회사의 유상증자 결정에 따른 지분율 및 지배력 변동 예정 안내),NO
12,2022-11-17,다산네트웍스,20221117000340,유상증자결정(종속회사의 주요경영사항),NO
13,2022-11-17,메디콕스,20221117000322,유상증자결정(제3자배정),YES
14,2022-11-16,중앙디앤엠,20221116000234,유상증자결정(제3자배정),YES
15,2022-11-16,에이트원,20221116000219,유상증자결정(제3자배정),YES
16,2022-11-16,UCI,20221116000169,유상증자결정(제3자배정),YES
17,2022-11-16,UCI,20221116000166,유상증자결정(제3자배정-출자전환),YES
18,2022-11-15,글로본,20221115000472,유상증자결정(제3자배정-소액),YES
19,2022-11-15,세토피아,20221115000366,유상증자결정(주주우선공모),YES
20,2022-11-15,KT서브마린,20221115000189,유상증자결정(제3자배정증자),YES
21,2022-11-15,3S,20221115000163,유상증자결정(제3자배정),YES
22,2022-11-15,일야,20221115000155,유상증자결정(제3자배정),YES
23,2022-11-15,일야,20221115000003,유상증자결정(제3자배정),YES
24,2022-11-14,케일럼,20221114002335,유상증자결정(제3자배정_전환우선주),YES
25,2022-11-14,하이소닉,20221114002022,유상증자결정(제3자배정),NO
26,2022-11-14,오비고,20221114001164,유상증자결정(제3자배정),YES
27,2022-11-14,와이오엠,20221114000511,유상증자결정(주주배정후 실권주 일반공모),YES
28,2022-11-11,피씨엘,20221111000435,유상증자결정(제3자배정 현물출자),YES
29,2022-11-11,코이즈,20221111000138,유상증자결정(주주배정후 실권주 일반공모),YES
30,2022-11-11,어반리튬,20221111000979,유상증자결정(제3자배정증자),YES
31,2022-11-11,에프앤리퍼블릭,20221111000813,유상증자결정(제3자배정),YES
32,2022-11-10,지엔씨에너지,20221110000687,유상증자결정(종속회사의 주요경영사항),YES
33,2022-11-10,지엔원에너지,20221110000646,유상증자결정(제3자배정),YES
34,2022-11-10,비에이치,20221110000276,유상증자결정(종속회사의 주요경영사항),NO
35,2022-11-09,이브이첨단소재,20221109000413,유상증자결정(주주우선공모증자),YES
36,2022-11-09,랩지노믹스,20221109000410,유상증자결정(제3자배정),YES
37,2022-11-08,지니뮤직,20221108000555,기타 주요경영사항(종속회사의 주요경영사항)(일반공모 유상증자 결정 철회),NO
38,2022-11-08,지니뮤직,20221108000554,유상증자결정(종속회사의 주요경영사항),YES
39,2022-11-08,애니플러스,20221108000432,유상증자결정(제3자배정),NO
40,2022-11-08,스튜디오드래곤,20221108000425,유상증자결정(제3자배정),NO
41,2022-11-08,해성옵틱스,20221108000324,유상증자결정(일반공모),YES
42,2022-11-07,세종메디칼,20221107000252,유상증자결정(제3자배정),NO
43,2022-11-04,에이피티씨,20221104000653,유상증자결정(제3자배정 - 상환전환우선주),NO
44,2022-11-03,3S,20221103000313,유상증자결정(제3자배정),YES
45,2022-11-03,크리스탈지노믹스,20221103000524,유상증자결정(제3자배정),YES
46,2022-11-03,넥스턴바이오,20221103000517,유상증자결정(제3자배정 - 철회),YES
47,2022-11-03,오스코텍,20221103000152,유상증자결정(주주배정후 실권주 일반공모),YES
48,2022-11-03,글로본,20221103000390,유상증자결정(제3자배정-소액),YES
49,2022-11-02,카나리아바이오,20221102000502,유상증자결정(제3자배정),YES
50,2022-11-01,카나리아바이오,20221101000587,유상증자결정(제3자배정),YES
51,2022-10-31,JTC,20221031000389,유상증자결정(제3자배정),YES
52,2022-10-31,글로본,20221031000754,유상증자결정(제3자배정),YES
53,2022-10-31,글로본,20221031000764,유상증자결정(제3자배정-소액),YES
54,2022-10-31,THE E&M,20221031000552,유상증자결정(제3자배정증자),YES
55,2022-10-31,참존글로벌,20221031000621,유상증자결정(제3자배정-현물출자),YES
56,2022-10-28,셀피글로벌,20221028000821,유상증자결정,YES
57,2022-10-28,에코프로비엠,20221028000699,유상증자결정(종속회사의 주요경영사항),YES
58,2022-10-28,에이치앤비디자인,20221028000582,유상증자결정(제3자배정증자),YES
59,2022-10-28,와이오엠,20221028000453,유상증자결정(주주배정후 실권주 일반공모),YES
60,2022-10-28,초록뱀컴퍼니,20221028000426,유상증자결정(제3자배정-전환우선주),YES
61,2022-10-27,어반리튬,20221027000621,유상증자결정(제3자배정증자),YES
62,2022-10-26,에이트원,20221026000426,유상증자결정(제3자배정),YES
