,공시일,기업공시코드,처분예정금액(보통주식),처분예정금액(기타주식),처분시작일,처분종료일,처분목적,처분방법
0,2019-01-02,A039440,"16,320,000",-,2019.01.03,2023.03.20,주식매수선택권 행사에 따른 자기주식 교부,시장을 통한 매도(주)
1,2019-01-08,A095270,"4,000,000,000",-,2019년 01월 10일,2019년 01월 10일,자기주식을 교환대상으로 하는 사모 교환사채 발행,시장을 통한 매도(주)
2,2019-01-10,A101330,"72,000,000",-,2019.01.10,2019.01.18,임직원공로금지급,시장을 통한 매도(주)
3,2019-01-11,A227950,"4,561,934,250",-,2019년 01월 11일,2019년 01월 18일,"합병시 주주의 주식매수청구권 행사로 취득한 자기주식은 5년 이내에 처분해야 하며, 해당기간내 처분결정",시장을 통한 매도(주)
4,2019-01-11,A232140,"47,880,000",-,2019년 01월 11일,2019년 01월 11일,우리사주조합 무상출연,시장을 통한 매도(주)
5,2019-01-15,A049480,"20,830,000",-,2019.01.16,2019.01.22,주식매수선택권 행사에 따른 자기주식교부,시장을 통한 매도(주)
6,2019-01-17,A095190,"4,714,756,634",-,2019년 01월 18일,2019년 02월 17일,운영자금 확보,시장을 통한 매도(주)
7,2019-01-17,A011320,"4,256,000,000",-,2019.01.18,2019.01.18,회사 자사주 취득자금 회수,시장을 통한 매도(주)
8,2019-01-18,A126870,"5,043,453,480",-,2019.01.21,2019.02.20,운영자금 확보,시장을 통한 매도(주)
9,2019-01-21,A089030,"639,828,960",-,2019년 01월 28일,2019년 02월 01일,종업원에 대한 상여 지급,시장을 통한 매도(주)
10,2019-01-23,A068930,"544,950,000",-,2019년 01월 24일,2019년 01월 31일,임직원 성과급 지급,시장을 통한 매도(주)
11,2019-01-29,A078340,"20,485,360",-,2019년 01월 30일,2019년 01월 30일,주식매수선택권 행사에 따른 자기주식 교부,시장을 통한 매도(주)
12,2019-01-30,A255440,"174,000,000",-,2019년 01월 30일,2019년 01월 30일,주식매수선택권 행사에 따른 자기주식 교부,시장을 통한 매도(주)
13,2019-02-08,A054450,"120,250,040",-,2019년 02월 09일,2019년 02월 28일,           임직원 상여급 지급,시장을 통한 매도(주)
14,2019-02-08,A054450,"181,440,600",-,2019년 02월 09일,2019년 02월 28일,우리사주매수선택권 행사에 따른 자기주식 교부,시장을 통한 매도(주)
15,2019-02-11,A014570,"2,109,380",-,2019년 02월 12일,2019년 02월 28일,퇴직자 인센티브 자사주 지급,시장을 통한 매도(주)
16,2019-02-11,A026040,"7,032,000,000",-,2019년 02월 12일,2019년 02월 15일,브랜드 리뉴얼을 위한운영자금 확보,시장을 통한 매도(주)
17,2019-02-11,A056190,"2,128,237,500",-,2019년 02월 12일,2019년 02월 28일,임직원 상여금 지급,시장을 통한 매도(주)
18,2019-02-15,A060480,"7,606,080,000",-,2019년 02월 18일,2019년 03월 18일,투자재원 및 운영자금 확보,시장을 통한 매도(주)
19,2019-02-15,A031310,"61,290,000",-,2019년 02월 15일,2019년 02월 18일,주식매수선택권 행사에 따른 자기주식교부,시장을 통한 매도(주)
20,2019-02-19,A088800,"95,850,000",-,2019년 02월 20일,2019년 02월 22일,당사의 성장및 동기부여를 위해 스톡그랜트를 부여,시장을 통한 매도(주)
21,2019-02-22,A222800,-,"7,000,000,950",2019.02.26,2019.02.26,상환우선주 상환에 따라 취득한자기주식의 이익소각,시장을 통한 매도(주)
