,회사명,기업공시코드,공시일,종류,총액,사채만기일,표면이자율,만기이자율,사채발행방법,공시코드
0,연이비앤티,90740,2020-12-29,무기명식 이권부무보증 사모 전환사채,"10,000,000,000",2024년 04월 09일,0,3,사모,20201229000894
1,연이비앤티,90740,2020-12-29,무기명식 이권부무보증 사모 전환사채,"10,000,000,000",2024년 04월 02일,0,3,사모,20201229000889
2,HLB테라퓨틱스,115450,2020-12-29,무기명식 이권부 무보증 사모 전환사채,"45,000,000,000",2026년 02월 05일,0.0,3.0,사모,20201229000674
3,HLB테라퓨틱스,115450,2020-12-29,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2026년 02월 01일,0.0,3.0,사모,20201229000472
4,휴림로봇,90710,2020-12-28,무기명식 이권부 담보부 사모전환사채,"4,000,000,000",2023년 12월 28일,3,5,사모,20201228000974
5,휴림로봇,90710,2020-12-28,무기명식 이권부 담보부 사모전환사채,"10,000,000,000",2023년 12월 28일,3,5,사모,20201228000966
6,녹원씨엔아이,65560,2020-12-28,무기명식 이권부 무보증 사모 전환사채,"7,000,000,000",2023년 12월 29일,2,4,사모,20201228000396
7,녹원씨엔아이,65560,2020-12-24,무기명식 이권부 무보증 사모 전환사채,"5,000,000,000",2023년 12월 28일,2,5,사모,20201224000664
8,리더스 기술투자,19570,2020-12-24,무기명식 이권부 무보증 사모 전환사채,"2,000,000,000",2023년 12월 24일,4.0,6.0,사모,20201224000501
9,애머릿지,900100,2020-12-24,무기명식 무보증 이권부 사모 전환사채,"1,000,000,000",2023년 12월 24일,0.0,5.0,사모,20201224000384
10,디모아,16670,2020-12-24,무기명식 이권부 무보증 사모 전환사채,"804,000,000",2023년 12월 24일,2,3,사모,20201224000363
11,메드팩토,235980,2020-12-23,무기명식 무보증 사모 전환사채,"70,000,000,000",2024년 01월 15일,0.0,1.0,사모,20201223000841
12,나이벡,138610,2020-12-23,무기명 이권부 무보증 사모 전환사채,"10,000,000,000",2025년 12월 28일,0.0,0.0,사모,20201223000749
13,스카이문스테크놀로지,33790,2020-12-23,무기명식 이권부 무보증 사모 전환사채,"1,300,000,000",2022년 12월 23일,-,4,사모,20201223000448
14,소프트센,32680,2020-12-21,무기명식 무보증 사모 전환사채,"6,000,000,000",2025년 12월 23일,0,1,사모,20201221000735
15,우리넷,115440,2020-12-21,무기명식 무이권부 무보증 사모 전환사채,"20,000,000,000",2025년 12월 22일,0.0,0.0,사모,20201221000659
16,아시아종묘,154030,2020-12-21,무기명식 무보증 사모 전환사채,"5,000,000,000",2024년 12월 23일,0.0,0.0,사모,20201221000361
17,디모아,16670,2020-12-17,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2023년 12월 17일,2,3,사모,20201217000363
18,골드앤에스,35290,2020-12-17,무기명 무보증 전환사채,"5,000,000,000",2025년 12월 15일,0.0,3.0,사모,20201217000199
19,지나인제약,78650,2020-12-16,무기명식 이권부 무보증 사모 전환사채,"6,000,000,000",2025년 12월 18일,0.0,0.0,사모,20201216001381
20,카스,16920,2020-12-16,무기명식 무보증 사모 전환사채,"10,000,000,000",2025년 12월 18일,0.0,0.0,사모,20201216001167
21,로보티즈,108490,2020-12-15,무기명식 무이권부 무보증 사모 전환사채,"11,000,000,000",2025.12.17,0.0,0.0,사모,20201215001278
22,노블엠앤비,106520,2020-12-15,무기명식 무이권부 무보증 사모 전환사채,"20,000,000,000",2024년 01월 29일,0,0,사모,20201215000678
23,한스바이오메드,42520,2020-12-15,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2023년 12월 18일,0.0,2.6,사모,20201215000538
