,TARGET,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,JOB
0,0,Y,N,270000.0,-13258,-2300,Managers
1,0,N,N,81000.0,-17876,-377,Private service staff
2,0,Y,Y,270000.0,-19579,-1028,Laborers
3,0,Y,Y,112500.0,-15109,-1956,Core staff
4,0,Y,Y,139500.0,-17281,-5578,Drivers
5,0,Y,Y,144000.0,-15394,-2959,Core staff
6,0,Y,N,180000.0,-11178,-219,Drivers
7,0,Y,N,405000.0,-18655,-3200,High skill tech staff
8,0,N,Y,135000.0,-17068,-8325,Laborers
9,0,N,Y,270000.0,-16616,-2722,Realty agents
10,0,Y,Y,99000.0,-9928,-1531,Managers
11,0,N,N,103500.0,-12987,-3537,High skill tech staff
12,0,N,Y,225000.0,-12486,-1816,Laborers
13,0,N,Y,171000.0,-10224,-2073,Laborers
14,0,N,N,135000.0,-15050,-4977,Laborers
15,0,Y,Y,270000.0,-12323,-1117,Laborers
16,0,Y,Y,225000.0,-12322,-3717,Core staff
17,0,N,Y,202500.0,-15231,-8375,High skill tech staff
18,0,N,Y,135000.0,-14874,-2407,Core staff
19,0,N,N,67500.0,-12231,-3072,Secretaries
20,0,Y,N,225000.0,-11714,-1740,Core staff
21,0,N,N,405000.0,-18267,-2045,Managers
22,0,N,Y,121500.0,-13315,-5204,Core staff
23,0,N,N,225000.0,-20657,-5637,Accountants
24,0,N,N,270000.0,-13101,-2204,Accountants
25,0,Y,Y,560250.0,-12987,-2330,Sales staff
26,0,N,N,74250.0,-19931,-3141,Core staff
27,0,N,Y,90000.0,-15988,-566,Laborers
28,0,N,N,135000.0,-16150,-5148,Medicine staff
29,0,N,N,225000.0,-16768,-3088,Laborers
30,0,N,Y,324000.0,-13482,-4795,Managers
31,0,N,Y,391500.0,-13995,-5849,Managers
32,0,N,N,135000.0,-11390,-515,Sales staff
33,0,Y,N,292500.0,-14050,-3680,Laborers
34,0,Y,Y,202500.0,-15346,-2481,Laborers
35,0,N,Y,229500.0,-16641,-1192,Core staff
36,0,N,Y,157500.0,-14140,-2513,Drivers
37,0,N,N,112500.0,-20285,-1734,High skill tech staff
38,0,N,Y,202500.0,-13483,-5204,Laborers
39,0,N,Y,171000.0,-15629,-356,Sales staff
40,0,N,Y,202500.0,-15929,-2879,Laborers
41,0,N,N,94500.0,-16758,-1619,Waiters/barmen staff
42,0,N,Y,180000.0,-10640,-1494,Laborers
43,0,Y,Y,225000.0,-12763,-2255,Core staff
44,0,Y,N,148500.0,-11675,-3779,Sales staff
45,0,N,N,171000.0,-10063,-917,Private service staff
46,0,N,N,450000.0,-18826,-686,Laborers
47,0,N,N,202500.0,-14562,-4653,High skill tech staff
48,0,N,Y,90000.0,-17444,-1112,Laborers
49,0,N,Y,157500.0,-12623,-5726,Laborers
50,0,Y,N,121500.0,-12662,-1382,Medicine staff
51,0,N,Y,180000.0,-18945,-1677,Managers
52,0,N,N,112500.0,-12872,-3720,Sales staff
53,0,N,N,45000.0,-18532,-3666,Core staff
54,0,N,Y,67500.0,-15140,-3174,Sales staff
55,0,Y,N,225000.0,-17762,-2484,Laborers
56,0,N,N,121500.0,-12845,-1278,Sales staff
57,0,Y,Y,157500.0,-15801,-576,Managers
58,0,Y,Y,382500.0,-14806,-710,Managers
59,0,N,Y,126000.0,-22811,-2234,High skill tech staff
60,0,N,N,315000.0,-12932,-309,Managers
61,0,N,N,112500.0,-12076,-5362,Laborers
