Date,Open,High,Low,Close,Volume
2018-01-02,448000,452500,442000,446500,121955
2018-01-03,441500,446500,432000,435000,234234
2018-01-04,438500,438500,422000,422500,284220
2018-01-05,426500,430000,417000,422000,204527
2018-01-08,422000,425000,415000,420000,143648
2018-01-09,420000,428000,418500,423500,126554
2018-01-10,428500,436500,423500,436000,196524
2018-01-11,438500,438500,427000,427000,111785
2018-01-12,432000,432500,411500,413500,226567
2018-01-15,415500,421000,410500,415500,118447
2018-01-16,415500,429000,414000,426500,112640
2018-01-17,426000,427500,416500,427500,95534
2018-01-18,429000,437500,425500,432000,137838
2018-01-19,432000,432500,422000,426000,102264
2018-01-22,425500,433500,420000,430500,101635
2018-01-23,431000,440000,430500,438000,123817
2018-01-24,440000,440000,432000,435500,74063
2018-01-25,433000,434500,421000,425500,159325
2018-01-26,423000,450000,423000,449500,331267
2018-01-29,452000,452500,442000,449000,142122
2018-01-30,450500,457500,441500,442500,133555
2018-01-31,440000,452500,437000,442000,179159
2018-02-01,440000,447500,440000,442000,92822
2018-02-02,442500,442500,435000,438500,123848
2018-02-05,434000,440000,418000,420500,147065
2018-02-06,402000,420000,401500,417000,157741
2018-02-07,424000,424500,407500,409000,169627
2018-02-08,405000,415000,390500,407500,304673
2018-02-09,394000,400000,382000,383500,192589
2018-02-12,384500,397500,384500,392500,125518
2018-02-13,394000,403500,392000,401500,116383
2018-02-14,405000,407500,398500,400000,63425
2018-02-19,405500,408500,399500,405500,82155
2018-02-20,406000,407500,391500,392000,116107
2018-02-21,391000,398500,391000,394500,102987
2018-02-22,394000,407000,393500,398000,133776
2018-02-23,403000,405000,396000,397500,82581
2018-02-26,397500,399000,384000,388000,167315
2018-02-27,387000,396500,384000,392500,165665
2018-02-28,396000,402500,373000,375000,260471
2018-03-02,370000,377500,366000,374000,155630
2018-03-05,374000,383000,373500,380000,115211
2018-03-06,382500,388500,378500,387000,116147
2018-03-07,384500,393000,381000,387500,95611
2018-03-08,390000,392000,382500,388500,100594
2018-03-09,389000,398500,385000,392500,191204
2018-03-12,399000,406500,397000,405000,172174
2018-03-13,404500,407500,400000,406000,87075
2018-03-14,400500,403000,393000,394500,70631
2018-03-15,396000,402500,391000,400000,58220
