Date,Close,Open,High,Low,Volume
2019-01-02,20473,20774,21075,20373,173462
2019-01-03,20573,20573,21176,20172,293989
2019-01-04,20774,20473,20875,20373,251728
2019-01-07,20674,21075,21477,20473,378153
2019-01-08,20052,20573,20674,19971,450462
2019-01-09,20473,20172,20573,20072,357096
2019-01-10,20272,20272,20674,20172,291573
2019-01-11,20473,20272,20774,20272,180561
2019-01-14,20072,20473,20473,20032,243305
2019-01-15,20052,20072,20573,19971,381581
2019-01-16,20072,20172,20272,20032,217209
2019-01-17,19771,20072,20473,19771,434803
2019-01-18,19991,19871,20052,19851,291588
2019-01-21,19831,20052,20072,19811,252620
2019-01-22,20473,19951,20573,19931,448490
2019-01-23,20573,20373,20674,20172,360462
2019-01-24,20473,20573,20774,20272,282408
2019-01-25,20573,20373,20674,20272,355017
2019-01-28,20473,20674,20875,20373,275296
2019-01-29,20473,20373,20473,20272,225138
2019-01-30,20052,20473,20573,19971,565397
2019-01-31,19931,20172,20172,19831,546040
2019-02-01,19991,19951,20172,19911,388183
2019-02-07,19871,20072,20072,19811,307297
2019-02-08,19710,19811,19891,19690,314884
2019-02-11,19189,19771,19811,19128,906796
2019-02-12,19269,19189,19369,18727,599314
2019-02-13,19690,19369,19851,19168,519566
2019-02-14,20172,19630,20272,19289,849160
2019-02-15,20373,20373,20774,20172,653634
2019-02-18,20473,20573,20674,20272,355745
2019-02-19,20072,20373,20473,20072,231131
2019-02-20,20011,20172,20272,19771,387109
2019-02-21,19851,20032,20272,19831,328444
2019-02-22,19931,19971,20172,19831,294247
2019-02-25,19730,19951,20032,19690,370483
2019-02-26,20774,19751,20774,19751,1238902
2019-02-27,21075,20975,21176,20674,551979
2019-02-28,20774,21075,21376,20774,733261
2019-03-04,21778,21176,21878,21075,853038
2019-03-05,21376,21677,21677,21176,472504
2019-03-06,21176,21477,21677,20875,298220
2019-03-07,20975,21176,21477,20774,330354
2019-03-08,21577,21878,21978,21376,792787
2019-03-11,21276,21677,21677,20975,276026
2019-03-12,20774,21376,21477,20774,380777
2019-03-13,20875,20875,21376,20774,240466
2019-03-14,21376,21075,21577,20975,444051
2019-03-15,21577,21376,21778,21376,463768
2019-03-18,21577,21677,21778,21477,197291
2019-03-19,20573,21577,21778,20573,605054
2019-03-20,20473,20674,20774,20072,492001
2019-03-21,20573,20473,20875,20373,230173
2019-03-22,20875,20674,20975,20674,239614
2019-03-25,20473,20473,20875,20373,171747
2019-03-26,20875,20573,21176,20473,257452
2019-03-27,20573,20975,20975,20473,208707
2019-03-28,20573,20473,20875,20473,162966
2019-03-29,20774,20674,20875,20573,153823
2019-04-01,20674,20774,20875,20473,216132
2019-04-02,20774,20774,20875,20473,227338
2019-04-03,20573,20674,20875,20473,294101
2019-04-04,20573,20573,20674,20373,261063
2019-04-05,20573,20573,20674,20473,132105
2019-04-08,20473,20674,20774,20373,203479
2019-04-09,20172,20473,20473,20072,383038
2019-04-10,20573,20272,20674,20172,263334
2019-04-11,20573,20674,20674,20373,253796
2019-04-12,20573,20573,20573,20373,162349
2019-04-15,22179,20875,22179,20674,1228969
2019-04-16,23584,22781,23685,22581,1744272
2019-04-17,23584,23484,23885,23183,653103
2019-04-18,23384,23885,23986,23283,443925
2019-04-19,23484,23484,23885,23082,329620
2019-04-22,23685,23685,24186,23484,457505
2019-04-23,23384,23785,23986,23283,259471
2019-04-24,23685,23584,23785,23183,443136
2019-04-25,23283,23584,23685,23082,292233
2019-04-26,23082,23183,23584,22681,366725
2019-04-29,23986,23183,23986,22882,512703
2019-04-30,24086,23885,24287,23785,494890
2019-05-02,24688,24086,24989,23986,742545
2019-05-03,25692,25290,25892,25190,1098989
2019-05-07,25591,25290,26093,25290,664716
2019-05-08,25792,25391,26093,25190,700167
2019-05-09,25391,26796,26796,25391,1352763
2019-05-10,26093,25792,26294,25591,1006921
2019-05-13,25792,26194,26194,25491,584824
2019-05-14,26896,25491,27097,25391,1360661
2019-05-15,26495,27197,27297,26093,1241060
2019-05-16,26796,26595,26896,26194,558891
2019-05-17,24989,25892,25993,24889,5222004
2019-05-20,25391,25391,25792,25190,899474
2019-05-21,25090,25391,25591,25090,694961
2019-05-22,25190,25190,25391,24387,840648
2019-05-23,24889,25090,25491,24789,425136
2019-05-24,24889,24688,24889,24186,766145
2019-05-27,24487,25090,25391,24186,550142
2019-05-28,24688,24287,25090,24186,565899
2019-05-29,24387,24588,24789,24186,323116
2019-05-30,24989,24487,25190,24487,460680
2019-05-31,24989,24889,25290,24688,325040
2019-06-03,24588,24789,25190,24487,316035
2019-06-04,23986,24588,24889,23384,847685
2019-06-05,24186,24287,24387,23986,307665
2019-06-07,24086,24086,24186,23584,537162
2019-06-10,24889,24086,25090,23885,506951
2019-06-11,24989,24889,25090,24588,244302
2019-06-12,24889,24989,25090,24588,212619
2019-06-13,25391,24889,25591,24789,747390
2019-06-14,25090,25491,25692,24989,357300
2019-06-17,24387,25090,25090,24287,349662
2019-06-18,24287,24387,24688,24086,344107
2019-06-19,24487,24588,24588,24287,178919
2019-06-20,24487,24487,24889,24086,287954
2019-06-21,25391,24989,25692,24889,808423
2019-06-24,25290,25491,25692,25190,306333
2019-06-25,26194,25892,26294,25591,956899
2019-06-26,25993,26294,26595,25892,516097
2019-06-27,26394,26294,26796,26093,704159
2019-06-28,26394,26394,26695,26093,362354
2019-07-01,25993,26595,26695,25892,433735
2019-07-02,26394,25993,26394,25692,264488
2019-07-03,26294,26394,26495,26093,300667
2019-07-04,26595,26294,26595,25993,362634
2019-07-05,26796,26695,26896,26394,458417
2019-07-08,25692,26796,26796,25692,581000
2019-07-09,26294,25792,26495,25692,463640
2019-07-10,26294,26495,26495,25892,312943
2019-07-11,26194,26294,26695,26194,525918
2019-07-12,26394,26294,26595,25993,300566
2019-07-15,26695,26595,27297,26294,783546
2019-07-16,26695,26796,26896,26495,323628
2019-07-17,26294,26495,26595,25993,328637
2019-07-18,26394,26194,26595,26194,170819
2019-07-19,27097,26495,27197,26394,656218
2019-07-22,26896,26996,27297,26796,408551
2019-07-23,27297,26896,27398,26695,469494
2019-07-24,27297,27297,27699,26896,692256
2019-07-25,26294,27297,27297,25692,1295817
2019-07-26,26294,25892,26495,25491,701403
2019-07-29,25892,26093,26495,25692,368682
2019-07-30,25290,25792,25993,25290,467439
2019-07-31,25491,25090,25692,24989,294609
2019-08-01,25391,25290,25792,25190,249194
2019-08-02,25792,25290,26093,24789,444403
2019-08-05,24588,25692,25892,24387,597268
2019-08-06,24487,23785,24989,23584,714349
2019-08-07,24789,24989,25090,24387,424495
2019-08-08,25491,25692,25892,25190,956084
2019-08-09,26495,25692,26695,25591,780515
2019-08-12,26093,26695,26796,25993,265084
2019-08-13,26394,26093,26595,25892,361927
2019-08-14,26194,26695,26695,25892,338519
2019-08-16,25993,25993,26093,25692,300046
2019-08-19,26194,26194,26394,25993,222446
2019-08-20,26495,26294,26495,25993,369383
2019-08-21,26394,26294,26695,26194,284628
2019-08-22,26695,26394,27097,26394,597184
2019-08-23,26695,26495,26796,26194,414033
2019-08-26,26595,26093,26695,25993,374958
2019-08-27,26896,26796,27097,26695,499775
2019-08-28,26796,26896,27097,26595,255507
2019-08-29,26695,26695,26796,26294,351957
2019-08-30,26996,26896,27197,26896,402408
2019-09-02,27498,26896,27599,26796,575791
2019-09-03,27599,27599,27699,27297,291503
2019-09-04,27799,27498,27900,27398,431250
2019-09-05,27097,27699,27900,26996,598646
2019-09-06,27297,27097,27398,27097,191271
2019-09-09,26695,27097,27197,26495,673204
2019-09-10,27197,26695,27197,26595,310565
2019-09-11,26695,27197,27297,26695,734465
2019-09-16,26495,26996,27097,26294,413424
2019-09-17,26495,26495,26896,26495,326141
2019-09-18,27498,26695,27498,26695,684630
2019-09-19,27197,27398,27599,27097,242822
2019-09-20,27197,27197,27197,26695,358235
2019-09-23,26996,27097,27398,26996,207227
2019-09-24,27699,27097,27699,26996,466753
2019-09-25,27297,27599,27799,27297,301919
2019-09-26,27398,27498,27599,27097,210766
2019-09-27,27197,27398,27398,26996,168760
2019-09-30,27197,26996,27297,26896,202006
2019-10-01,27599,27297,27699,27297,252319
2019-10-02,27197,27398,27498,27197,152309
2019-10-04,26796,26996,27297,26796,238417
2019-10-07,26996,26896,27097,26695,344020
2019-10-08,26996,26996,27097,26796,224907
2019-10-10,27398,26695,27498,26595,694345
2019-10-11,27097,27398,27599,26996,238584
2019-10-14,26996,27297,27398,26896,317555
2019-10-15,26896,27097,27097,26695,190243
2019-10-16,26495,26896,26996,25792,753513
2019-10-17,26194,26394,26595,25892,618170
2019-10-18,26595,26294,26796,26294,332984
2019-10-21,26796,26595,26896,26294,214102
2019-10-22,27297,26896,27297,26896,337570
2019-10-23,28100,27297,28100,27197,1045771
2019-10-24,28000,28201,28502,27900,490092
2019-10-25,28100,28100,28301,28000,196552
2019-10-28,28100,28502,29104,28000,665988
2019-10-29,28000,28401,28502,27699,367213
2019-10-30,27699,28201,28201,27599,251362
2019-10-31,28401,27900,28903,27799,726151
2019-11-01,29204,28602,29305,28502,717046
2019-11-04,29405,29405,29606,29204,436509
2019-11-05,29806,29305,29907,29204,502806
2019-11-06,30308,29907,30308,29706,516744
2019-11-07,30308,30509,31011,29505,1222184
2019-11-08,30509,30509,31111,30308,900774
2019-11-11,30910,30710,31111,30509,509809
2019-11-12,30810,30910,31011,30509,396292
2019-11-13,30810,30609,30910,30308,376959
2019-11-14,31011,31011,31111,30509,651414
2019-11-15,31211,31011,31211,30810,281084
2019-11-18,31613,31211,31713,31211,372362
2019-11-19,31412,31613,31613,31211,323233
2019-11-20,31412,31312,31914,31211,332676
2019-11-21,30910,31412,31513,30308,666854
2019-11-22,30710,30710,31211,30509,335038
2019-11-25,31412,30810,31412,30810,300270
2019-11-26,31613,31513,31814,31412,361401
2019-11-27,31613,31814,31914,31412,294619
2019-11-28,31513,31412,31613,31211,218221
2019-11-29,31211,31312,31914,30810,471253
2019-12-02,31412,31312,31412,30810,250192
2019-12-03,31513,31211,31513,30910,235453
2019-12-04,31312,31312,31312,31011,233141
2019-12-05,30007,31211,31312,29806,841460
2019-12-06,30810,29907,30910,29907,415390
2019-12-09,30409,30910,31011,30308,267330
2019-12-10,30007,30108,30409,29505,516074
2019-12-11,30108,30208,30208,29606,480071
2019-12-12,30007,30308,30409,29907,710378
2019-12-13,30308,30208,30308,29806,456822
2019-12-16,30409,30308,30509,30108,297095
2019-12-17,30208,30409,30509,30007,275832
2019-12-18,30308,30208,30509,30007,252752
2019-12-19,30108,30208,30308,29907,175849
2019-12-20,30108,30108,30710,30007,545445
2019-12-23,29806,30308,30308,29706,283403
2019-12-24,29405,29706,30108,29004,367817
2019-12-26,29706,29305,29706,29305,320921
2019-12-27,30810,30007,30910,29907,690548
2019-12-30,30810,30910,31111,30710,428587
2020-01-02,30609,30910,31011,30509,241047
2020-01-03,30609,30810,31111,30308,314848
2020-01-06,31011,30208,31111,30108,393715
2020-01-07,32115,31111,32115,31011,840186
2020-01-08,32014,31814,32516,31412,851619
2020-01-09,32918,32817,33219,32616,878319
2020-01-10,33118,33118,33419,32717,401906
2020-01-13,33520,33219,33620,33118,475667
2020-01-14,33520,33620,33821,33219,423286
2020-01-15,34122,33520,34222,33419,462119
2020-01-16,34423,34122,34523,34122,260049
2020-01-17,33821,34423,34624,33720,354724
2020-01-20,33821,33921,34122,33520,380510
2020-01-21,33118,33821,33921,32817,389155
2020-01-22,33319,33319,33921,33018,504350
2020-01-23,33219,33720,33720,33018,323420
2020-01-28,32616,32115,32817,32014,513228
2020-01-29,32817,33219,33319,32616,255167
2020-01-30,32516,32717,33219,32215,418908
2020-01-31,31914,32616,32918,31814,346067
2020-02-03,32014,31312,32215,31312,423907
2020-02-04,33018,32416,33219,32215,394773
2020-02-05,32717,33419,33520,32416,456954
2020-02-06,33319,33219,33720,32817,552044
2020-02-07,33620,33520,34222,33319,522100
2020-02-10,33921,33620,34022,33319,375209
2020-02-11,34122,33921,34122,33720,307120
2020-02-12,34523,34022,34523,33720,407917
2020-02-13,35928,35025,36430,34824,1877980
2020-02-14,36129,36330,37032,35928,948085
2020-02-17,36229,36129,36530,35928,329408
2020-02-18,36530,36229,36832,35928,587253
2020-02-19,38136,36932,38237,36832,1362998
2020-02-20,38237,38237,38437,37735,547405
2020-02-21,38036,37835,38437,37634,558497
2020-02-24,36832,37032,37333,36530,792733
2020-02-25,37233,36530,37333,36129,596763
2020-02-26,36932,36832,37233,36430,516378
2020-02-27,35828,36932,37233,35427,785062
2020-02-28,34523,35025,35427,34222,1022917
2020-03-02,35125,35025,35427,34022,793495
2020-03-03,35125,36229,36330,35125,629017
2020-03-04,36029,34925,36330,34925,709188
2020-03-05,36029,36631,36731,35427,821744
2020-03-06,35226,35427,35828,34925,568424
2020-03-09,33620,34323,34423,33319,805638
2020-03-10,34724,33018,35025,32918,950875
2020-03-11,33921,34523,35025,33520,550227
2020-03-12,32315,33520,33921,31814,1218070
2020-03-13,31914,30108,32416,29104,1601985
2020-03-16,29606,32516,32918,29606,1252484
2020-03-17,29606,28301,30208,28100,1221046
2020-03-18,28301,29806,30509,28201,1107527
2020-03-19,26896,29204,29505,25591,2157141
2020-03-20,30007,27699,30308,26996,1765756
2020-03-23,28803,27699,29706,27599,1569378
2020-03-24,31011,30208,31111,29505,1271387
2020-03-25,31011,32215,32616,30308,1290376
2020-03-26,30208,31111,31312,30108,893688
2020-03-27,30609,31412,31513,29907,958988
2020-03-30,30710,30007,31011,29606,668254
2020-03-31,31211,31111,31914,30509,1042474
2020-04-01,30208,31312,31814,30108,794295
2020-04-02,31513,30509,31513,29907,1043790
2020-04-03,31613,31814,31914,31111,545749
2020-04-06,32215,31814,32315,31613,807805
2020-04-07,32115,32817,33018,31814,920798
2020-04-08,31713,31914,32215,31713,738303
2020-04-09,31713,32315,32315,31613,726920
2020-04-10,32315,31814,32416,31513,753323
2020-04-13,31613,32315,32315,31513,470251
2020-04-14,32014,32014,32215,31713,430759
2020-04-16,33219,31914,33520,31814,1005533
2020-04-17,34523,33921,34624,33620,947794
2020-04-20,35125,34624,35928,34523,859303
2020-04-21,35226,35427,35627,33821,1232126
2020-04-22,35527,34925,35527,34423,686146
2020-04-23,37233,36430,37434,36229,1509799
2020-04-24,36731,37032,37835,36530,1073684
2020-04-27,36932,36731,37534,36430,721963
2020-04-28,37133,37233,37434,36430,668638
2020-04-29,36932,36932,37434,36631,659512
2020-05-04,37434,36430,38136,36129,1019409
2020-05-06,40043,37935,40143,37735,2035947
2020-05-07,41348,40043,41649,39842,2629709
2020-05-08,41348,41448,42151,40946,1405404
2020-05-11,41649,41548,42452,41448,1048413
2020-05-12,43054,41950,43455,41348,1563095
2020-05-13,43455,42452,43455,42452,1113608
2020-05-14,45161,43355,45763,42953,1459813
2020-05-15,44459,45864,46466,43355,1524083
2020-05-18,44358,44459,45262,43857,744533
2020-05-19,44158,44459,44659,42953,1308903
2020-05-20,46466,44860,47068,44559,1773960
2020-05-21,47670,47670,48172,47068,1408737
2020-05-22,49577,47670,49878,47168,1887064
2020-05-25,53792,50380,54194,49978,2653776
2020-05-26,54194,54896,56100,52387,3274293
2020-05-27,52287,52588,53591,51584,2015974
2020-05-28,53591,51685,54194,50681,2495048
2020-05-29,52889,52889,53692,51685,1645822
2020-06-01,52989,52889,53391,52086,1083698
2020-06-02,52086,52688,52789,51584,978846
2020-06-03,50079,52086,52487,49677,2302391
2020-06-04,50982,49677,51584,49577,1228950
2020-06-05,50380,50781,50882,49677,1007264
2020-06-08,51484,50681,51785,49878,1417078
2020-06-09,51082,51283,52086,50681,834862
2020-06-10,52588,51484,52889,51484,1575452
2020-06-11,53190,52989,53792,52387,1724551
2020-06-12,53391,51484,53792,51384,1688975
2020-06-15,50681,53391,54394,50179,1549230
2020-06-16,52789,52287,52789,51785,915456
2020-06-17,52789,52487,53792,51785,1162204
2020-06-18,52889,53090,53591,52287,981144
2020-06-19,52889,53692,54093,52588,920126
2020-06-22,54996,52889,55398,52287,2008656
2020-06-23,56502,56000,58007,55599,2166267
2020-06-24,56703,56502,57004,55197,1081233
2020-06-25,55097,55900,56602,54896,900258
2020-06-26,55097,56100,56201,53792,812726
2020-06-29,53692,53993,54896,53391,778818
2020-06-30,53692,54595,54796,53692,624089
2020-07-01,54093,54495,55197,53692,578023
2020-07-02,57305,54896,57305,54796,1378545
2020-07-03,59011,58108,59613,57004,1604493
2020-07-06,60315,59814,61720,59613,1344851
2020-07-07,62323,61520,63828,61018,1552820
2020-07-08,65835,62624,65835,61219,1869663
2020-07-09,71355,67240,71355,66638,2463503
2020-07-10,71355,70452,73864,69348,2566935
2020-07-13,70652,72057,72459,69247,1391744
2020-07-14,68846,68344,69548,68244,1212519
2020-07-15,67742,69047,70151,66638,1487417
2020-07-16,64631,66638,67341,64029,1941508
2020-07-17,65233,64029,65634,63025,1268587
2020-07-20,62222,65233,65233,62222,1534422
2020-07-21,63427,64932,65434,62523,1676630
2020-07-22,63828,62323,64530,61419,1159298
2020-07-23,66136,63527,66136,63226,1260435
2020-07-24,65133,65233,66839,64631,907643
2020-07-27,65534,64430,66136,64330,603322
2020-07-28,66136,66638,67441,65935,873063
2020-07-29,66538,66036,66839,65233,618435
2020-07-30,66638,67441,67642,66538,615872
2020-07-31,68946,67441,69047,67341,1078837
2020-08-03,73462,69749,73462,69649,1636803
2020-08-04,74265,75971,77075,72459,1714642
2020-08-05,74366,73462,74466,72760,1075879
2020-08-06,73061,71957,74767,71756,1848898
2020-08-07,70853,73864,74265,70351,1899111
2020-08-10,71455,69448,71957,68545,1086391
2020-08-11,70753,70552,71656,69749,750285
2020-08-12,71054,69950,71556,69749,729434
2020-08-13,72358,72057,73262,71556,1117859
2020-08-14,72760,72459,73462,71857,825802
2020-08-18,75871,74566,78179,73763,3032037
2020-08-19,75570,77176,77276,74667,1359266
2020-08-20,73161,75470,76875,72158,1686740
2020-08-21,74265,74265,74968,72659,1021460
2020-08-24,76272,75168,76774,73763,969648
2020-08-25,76473,77176,77276,75670,887733
2020-08-26,78681,76373,79082,75871,1351029
2020-08-27,82394,79584,82896,79484,1981840
2020-08-28,81391,82996,83498,80287,1506996
2020-08-31,81692,82394,84401,80487,1629751
2020-09-01,80588,82996,83498,80287,1100736
2020-09-02,82695,81391,82796,80588,921655
2020-09-03,82294,83398,83498,81090,739215
