,회사명,기업공시코드,공시일,종류,총액(원),사채만기일,표면이자율(%),만기이자율(%),사채발행방법,공시코드
0,네오티스,085910,2019-12-27,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2025년 01월 03일,0.0,1.0,사모,20191227000693
1,지나인제약,078650,2019-12-27,무기명식 이권부 무보증 사모 전환사채,"8,000,000,000",2025년 01월 03일,0.0,0.0,사모,20191227000514
2,화신테크,086250,2019-12-27,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2023년 03월 17일,5.0,5.0,사모,20191227000010
3,테크엘,064520,2019-12-27,무기명 사모 일반 전환사채,"5,000,000,000",2024년 12월 26일,2.0,2.0,사모,20191227000006
4,티로보틱스,117730,2019-12-26,무기명식 무보증 사모 전환사채,"10,000,000,000",2022년 12월 27일,0.0,0.0,사모,20191226000394
5,이트론,096040,2019-12-23,무기명식 이권부 무보증 사모 전환사채,"25,000,000,000",2022년 12월 23일,5.0,5.0,사모,20191223000064
6,와이엠티,251370,2019-12-20,무기명식 무이권부 무보증 사모 전환사채,"14,000,000,000",2024년 12월 24일,0.00,1.00,사모,20191220000313
7,이큐셀,160600,2019-12-19,무기명식 무보증 사모 전환사채,"20,000,000,000",2023.02.27,5.0,5.0,사모,20191219000680
8,하이소닉,106080,2019-12-19,무기명식 이권부 무보증 사모 전환사채,"4,200,000,000",2022년 12월 20일,2.0,3.0,사모,20191219000682
9,화신테크,086250,2019-12-18,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2023년 01월 31일,5.0,5.0,사모,20191218000535
10,아이톡시,052770,2019-12-18,무기명식 이권부 무보증 전환사채,"4,950,000,000",2049년 12월 19일,0.0,5.0,사모,20191218000480
11,오스코텍,039200,2019-12-18,무기명식 이권부 무보증 사모 전환사채,"5,500,000,000",2022.12.26,0,2,사모,20191218000447
12,올리패스,244460,2019-12-18,무기명식 무보증 사모 전환사채,"14,000,000,000",2024년 12월 20일,0.0,0.0,사모,20191218000406
13,더코디,224060,2019-12-17,무기명식 이권부 무보증 사모 전환사채,"15,000,000,000",2023년 02월 28일,6.0,6.0,사모,20191217000538
14,코너스톤네트웍스,033110,2019-12-17,무기명식 무보증 국내사모 전환사채,"24,000,000,000",2024년 12월 17일,0.0,0.0,사모,20191217000242
15,HLB,028300,2019-12-16,무기명식 무보증 사모 전환사채,"40,000,000,000",2022년 12월 18일,0.0,1.0,사모,20191216001244
16,비보존 제약,082800,2019-12-16,무기명식 무보증 사모 전환사채,"20,000,000,000",2023년 01월 17일,2,4,사모,20191216001213
17,알티캐스트,085810,2019-12-13,무기명식 무보증 사모 전환사채,"12,000,000,000",2024년 12월 16일,0.0,0.0,사모,20191213001284
18,엔지스테크널러지,208860,2019-12-12,무기명식 무보증 사모 전환사채,"15,000,000,000",2022.12.13,0.0,0.0,사모,20191212000760
19,아이톡시,052770,2019-12-11,무기명식 이권부 무보증 전환사채,"800,000,000",2022년 12월 12일,0.0,5.0,사모,20191211000484
20,이노시스,056090,2019-12-10,무기명식 이권부 무보증 사모 전환사채,"8,000,000,000",2024년 12월 12일,0.0,4.0,사모,20191210000497
21,멜파스,096640,2019-12-10,무기명식 이권부 무보증 사모 전환사채,"8,500,000,000",2022년 12월 12일,3.0,10.0,사모,20191210000003
22,테라사이언스,073640,2019-12-09,무기명식 이권부 무보증 사모 전환사채,"5,000,000,000",2022년 12월 10일,3.0,3.0,사모,20191209000510
23,코스온,069110,2019-12-09,무기명식 이권부 무보증 사모 전환사채,"15,000,000,000",2023년 12월 10일,0.0,1.0,사모,20191209000347
24,코너스톤네트웍스,033110,2019-12-06,무기명식 무보증 국내사모 전환사채,"2,000,000,000",2022년 12월 06일,2.0,4.0,사모,20191206000592
25,명성티엔에스,257370,2019-12-06,무기명식 이권부 무보증 사모 전환사채,"5,000,000,000",2023.02.19,-,2,사모,20191206000337
26,램테크놀러지,171010,2019-12-05,제 1회 무기명식 이권부 무보증 무담보 사모 전환사채,"7,500,000,000",2024년 12월 06일,0.0,3.0,사모,20191205000005
27,에이티세미콘,089530,2019-12-03,무기명식 이권부 무보증 사모 전환사채,"4,000,000,000",2023년 02월 07일,0.0,4.0,사모,20191203000317
28,에이티세미콘,089530,2019-12-03,무기명식 이권부 무보증 사모 전환사채,"4,000,000,000",2023년 02월 07일,0.0,4.0,사모,20191203000301
29,썬텍,122800,2019-12-02,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2022년 12월 10일,0.0,1.0,사모,20191202000519
30,이원컴포텍,088290,2019-11-29,무기명식 무보증 사모 전환사채,"15,000,000,000",2023.03.10,2,2,사모,20191129000004
31,이원컴포텍,088290,2019-11-29,무기명식 무보증 사모 전환사채,"15,000,000,000",2023.02.04,2,2,사모,20191129000003
32,엘티씨,170920,2019-11-28,무기명식 이권부 무보증 사모 전환사채,"6,000,000,000",2024년 11월 29일,0.0,1.0,사모,20191128000405
33,나노캠텍,091970,2019-11-26,무기명 이권부 무보증 사모 전환사채,"20,000,000,000",2023.03.31,0.0,4.0,사모,20191126000394
34,인산가,277410,2019-11-25,무기명식 이원부 무보증 사모 전환사채 ,"10,000,000,000",2022.12.04,0.0,0.5,사모,20191125000509
35,엔지스테크널러지,208860,2019-11-25,무기명식 무보증 사모 전환사채,"7,000,000,000",2022년 11월 27일,0.0,4.0,사모,20191125000350
36,지더블유바이텍,036180,2019-11-22,무기명식 이권부 무보증 사모 전환사채,"8,000,000,000",2022년 11월 22일,0,0,사모,20191122000485
37,광림,014200,2019-11-22,무기명식 이권부 무보증 사모 전환사채,"22,000,000,000",2022년 12월 26일,4.0,5.0,사모,20191122000385
38,세영디앤씨,052190,2019-11-22,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2022.12.23,0.0,3.0,사모,20191122000108
39,JW신약,067290,2019-11-21,무기명식 이권부 무보증 후순위 사모전환사채,"25,000,000,000",2049년 11월 22일,4.6,5.1,사모,20191121000480
40,엔시트론,101400,2019-11-20,무기명식 이권부 무보증 사모전환사채,"12,000,000,000",2023년 01월 20일,0.0,4.0,사모,20191120000055
41,강원에너지,114190,2019-11-19,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2023년 01월 15일,4.0,5.0,사모,20191119000347
42,비보존 제약,082800,2019-11-19,무기명식 무보증 사모 전환사채,"10,000,000,000",2023년 01월 16일,2,4,사모,20191119000007
43,비보존 제약,082800,2019-11-19,무기명식 무보증 사모 전환사채,"10,000,000,000",2023년 01월 09일,2,4,사모,20191119000006
44,비보존 제약,082800,2019-11-19,무기명식 무보증 사모 전환사채,"10,000,000,000",2023년 01월 07일,2,4,사모,20191119000004
45,키이스트,054780,2019-11-18,무기명식 이권부 무보증 사모 전환사채,"12,000,000,000",2022년 11월 20일,0.0,0.0,사모,20191118000252
46,초록뱀미디어,047820,2019-11-15,무기명식 무보증 국내사모 전환사채,"3,100,000,000",2022년 12월 27일,0,3.0,사모,20191115000502
47,아이오케이,078860,2019-11-15,무기명식 이권부 무보증 사모 전환사채,"4,999,660,000",2022년 11월 15일,0,3,사모,20191115000221
48,인성정보,033230,2019-11-14,무기명식 이권부 무보증 사모 전환사채,"6,000,000,000",2024년 11월 15일,1.0,4.0,사모,20191114002317
49,아리온,058220,2019-11-14,무기명식 이권부 무보증 사모 전환사채,"12,000,000,000",2022년 11월 22일,4.0,4.0,사모,20191114000024
50,아이톡시,052770,2019-11-13,무기명식 이권부 무보증 사모 전환사채,"1,750,000,000",2022년 11월 14일,0.0,5.0,사모,20191113000898
51,시티랩스,139050,2019-11-13,무기명식 이권부 무보증 사모 전환사채,"3,000,000,000",2022년 11월 27일,0,4,사모,20191113000880
52,머큐리,100590,2019-11-13,무기명식 무보증 사모 전환사채,"20,000,000,000",2024년 11월 15일,0.0,0.0,사모,20191113000776
53,코너스톤네트웍스,033110,2019-11-12,무기명식 무보증 국내사모 전환사채,"1,500,000,000",2022년 11월 12일,2.0,4.0,사모,20191112000119
54,셀피글로벌,068940,2019-11-08,무기명식 무보증 사모 전환사채,"8,000,000,000",2022년 11월 12일,0.0,3.0,사모,20191108000445
55,코너스톤네트웍스,033110,2019-11-08,무기명식 무보증 국내사모 전환사채,"2,000,000,000",2022년 11월 08일,2.0,4.0,사모,20191108000322
56,퓨전,195440,2019-11-07,무기명식 이권부 무보증 사모 전환사채,"6,000,000,000",2022.11.11,4.0,4.0,사모,20191107000488
57,알엔투테크놀로지,148250,2019-11-07,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2024년 11월 11일,0.0,0.0,사모,20191107000260
58,블루베리 NFT,044480,2019-11-06,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2022년 11월 27일,5.0,5.0,사모,20191106000298
59,한국테크놀로지,053590,2019-11-06,무기명식 이권부 무보증 사모 전환사채,"5,000,000,000",2022.11.07,5,5,사모,20191106000002
60,디아크,078590,2019-11-04,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2023.03.31,0,3,사모,20191104000411
61,HLB테라퓨틱스,115450,2019-10-31,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2022년 11월 22일,0.0,3.0,사모,20191031000344
62,장원테크,174880,2019-10-30,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2022년 11월 19일,2.0,4.0,사모,20191030000360
63,에이비프로바이오,195990,2019-10-29,무기명식 이권부 사모 전환사채,"14,000,000,000",2022년 10월 31일,3,4,사모,20191029000479
64,THE E&M,089230,2019-10-29,무기명식 이권부 무보증 사모 전환사채,"2,000,000,000",2022년 10월 29일,2.0,3.0,사모,20191029000376
65,모베이스전자,012860,2019-10-29,후순위 무기명식 무보증 사모 전환사채(신종자본증권),"20,000,000,000",2049년 10월 30일,3.0,-,사모,20191029000318
66,바이오니아,064550,2019-10-28,무기명식 무보증 사모 전환사채,"20,000,000,000",2024년 10월 31일,0.0,2.0,사모,20191028000374
67,디와이디,219550,2019-10-25,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2022년 10월 25일,2.0,7.0,사모,20191025000526
68,피씨엘,241820,2019-10-23,무기명식 무보증 사모전환사채,"6,000,000,000",2024.10.25,0,3,사모,20191023000510
69,원익피앤이,217820,2019-10-22,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2024년 10월 24일,0.0,0.0,사모,20191022000138
70,참존글로벌,158310,2019-10-22,무기명식 이권부 무보증 사모 전환사채,"20,000,000,000",2024년 11월 28일,0,2,사모,20191022000004
71,세동,053060,2019-10-18,무기명식 이권부 무보증 사모 전환사채,"1,800,000,000",2022년 10월 21일,2.0,5.0,사모,20191018000147
72,DMS,068790,2019-10-18,무기명식 이권부 사모 전환사채,"7,000,000,000",2021년 10월 30일,0.00,1.00,사모,20191018000143
73,애머릿지,900100,2019-10-17,무기명식 무보증 이권부 사모 전환사채,"7,473,220,000",2022년 10월 17일,3.0,7.0,사모,20191017000069
74,HLB제약,047920,2019-10-16,무기명식 이권부 무보증 사모 전환사채,"10,000,000,000",2022년 12월 10일,1,1,사모,20191016000461
75,테라셈,182690,2019-10-16,무기명식 무보증 사모 전환사채,"5,000,000,000",2022년 12월 16일,0.0,0.0,사모,20191016000356
76,테라셈,182690,2019-10-16,무기명식 무보증 사모 전환사채,"5,000,000,000",2022년 12월 16일,0.0,0.0,사모,20191016000351
77,테라셈,182690,2019-10-16,무기명식 무보증 사모 전환사채,"5,000,000,000",2022년 12월 16일,0.0,0.0,사모,20191016000344
