Date,Open,High,Low,Close,Volume
2018-01-02,25889,25889,24854,25698,1209037
2018-01-03,26215,26247,24272,24630,1852188
2018-01-04,24790,24887,23721,23918,1371700
2018-01-05,24111,25016,24078,24727,1401706
2018-01-08,24920,24985,23950,24144,1156997
2018-01-09,24305,24887,23851,23983,1004040
2018-01-10,23883,24434,23624,24209,839463
2018-01-11,24305,25599,23949,25568,2116443
2018-01-12,25987,26538,25017,26507,2274776
2018-01-15,26699,26926,25535,25924,1954748
2018-01-16,25825,28867,25696,27769,5040707
2018-01-17,27929,28674,27313,28320,2328465
2018-01-18,28609,28835,27313,27704,1574732
2018-01-19,27574,27962,26474,26960,1333081
2018-01-22,26634,27088,26182,27090,702602
2018-01-23,27249,27703,26731,27704,750244
2018-01-24,27897,28674,26991,27122,1743740
2018-01-25,27185,27379,26474,27090,747872
2018-01-26,27250,27444,26699,27090,534299
2018-01-29,27379,27639,26991,27122,763248
2018-01-30,26926,26991,26246,26312,1108303
2018-01-31,25761,26311,25470,25989,933804
2018-02-01,26247,26343,25471,25633,741178
2018-02-02,25696,25825,24531,24888,1167752
2018-02-05,23818,24402,22525,22526,1790177
2018-02-06,21230,23917,21036,23529,2485147
2018-02-07,24111,24337,22525,22526,1210704
2018-02-08,22525,24014,22492,23562,1219549
2018-02-09,22654,23333,22589,22785,786391
2018-02-12,23172,23398,22686,22688,531630
2018-02-13,23010,23075,21618,21620,818538
2018-02-14,21682,22460,21391,22397,601294
2018-02-19,22912,23917,22719,23918,763716
2018-02-20,24078,24143,23333,23400,577302
2018-02-21,23366,24014,23205,23562,481931
2018-02-22,23398,23754,23173,23497,345916
2018-02-23,23657,23786,23173,23464,474281
2018-02-26,23754,23950,23237,23595,385422
2018-02-27,23851,24272,23593,24047,583249
2018-02-28,23786,23850,22103,22688,1225215
2018-03-02,22039,22525,21812,22397,795422
2018-03-05,22428,22687,21586,21587,716713
2018-03-06,21943,23139,21943,22915,1004460
2018-03-07,22784,23528,22557,22656,829615
2018-03-08,23139,24014,22945,23724,1032388
2018-03-09,24078,25664,23981,25504,2317152
2018-03-12,25632,26311,25470,25796,1193707
2018-03-13,25696,26537,25535,25861,893888
2018-03-14,26214,27056,26052,26280,1479671
2018-03-15,26409,27767,26279,27542,2033066
2018-03-16,27639,27800,26991,27413,1671859
2018-03-19,27185,27411,26311,26377,832163
2018-03-20,26118,27056,26085,26637,764368
2018-03-21,26797,26991,25955,26021,767606
